漢字,解説・構成
柰,木（き）に示
鍜,金（かねへん）に叚
𧚓,衤（ころもへん）に帋
𧚓,衤（ころもへん）に氏に巾
選,しんにょう・しんにゅうに巽
凱,几（つくえ・きにょう）に豈
秞,禾（のぎへん）に由
堅,土（つち）に臤
堅,土（つち）に臣に又
芡,艹（くさかんむり）に欠
虧,虍（とらがしら・とらかんむり・とら）に隹に亐
虧,雐に亐
戮,戈（ほこ・ほこづくり・ほこがまえ）に翏
戮,戈（ほこ・ほこづくり・ほこがまえ）に羽に㐱
驒,馬（うまへん）に單
淑,さんずいに叔
咦,口（くちへん）に夷
邐,しんにょう・しんにゅうに麗
颻,風（かぜ）に䍃
造,しんにょう・しんにゅうに告
笙,たけかんむりに生
縣,県に系
鞖,革（かわへん）に
𡋗,土（つちへん）に会
桑,木（き）に叒
桑,「ソウ」は高校で習う読み方です。
鏘,金（かねへん）に將
濫,さんずいに監
妊,おんなへんに壬
倪,にんべんに兒
瑍,王（おうへん）に奐
刻,りっとうに亥
純,糸（いとへん）に屯
誌,言（ごんべん）に志
忿,心（こころ）に分
殺,殳（るまた・ほこづくり）に杀
殺,「サイ」「セツ」は高校で習う読み方です。
錟,金（かねへん）に炎
錟,金（かねへん）に火に火
錡,金（かねへん）に奇
錡,金（かねへん）に大に可
卵,𠂑に卪
卵,「ラン」は中学校で習う読み方です。
獪,けものへんに會
綢,糸（いとへん）に周
鑷,金（かねへん）に聶
懴,りっしんべんに韯
榕,木（きへん）に容
貼,かいへんに占
嶧,山（やまへん）に睪
剌,りっとうに束
奈,大（だいかんむり・だいがしら）に示
嬪,女（おんなへん）に賓
別,りっとうに𠮠
啣,口（くちへん）に卸
淆,さんずいに肴
厠,厂（がんだれ）に則
岦,山（やま・やまかんむり）に立
閘,門（もんがまえ・かどがまえ）に甲
囚,囗（くにがまえ）に人
羅,あみめ・あみがしら・よんがしらに維
濁,さんずいに蜀
絳,糸（いとへん）に夅
絳,糸（いとへん）に夂に㐄
糈,米（こめへん）に胥
糈,米（こめへん）に疋に月
洄,氵（さんずい）に回
稞,禾（のぎへん）に果
瓖,王（おうへん）に襄
銀,かねへんに艮
胥,疋に月
騖,馬（うまへん）に敄
騖,馬（うまへん）に矛に攵
襅,衤（ころもへん）に畢
窬,穴（あなかんむり）に兪
芭,くさかんむりに巴
鵝,鳥（とり）に我
慷,りっしんべんに康
桂,木（きへん）に圭
喿,品に木
喿,口（くち）に吅に木
鬭,とうがまえ・たたかいがまえに斲
劬,力（ちから）に句
麒,鹿（しか・しかへん）に其
漼,氵（さんずい）に崔
漼,氵（さんずい）に山に隹
腮,月（にくづき）に思
餝,しょくへんに芳
艫,舟（ふねへん）に盧
觫,角（つのへん）に束
栟,木（きへん）に并
性,りっしんべんに生
性,「ショウ」は中学校で習う読み方です。
癤,疒（やまいだれ）に
㰏,木（きへん）に篙。
契,「ちぎる」は高校で習う読み方です。
糊,米（こめへん）に胡
糊,米（こめへん）に古に月
菟,くさかんむりに兔
羔,𦍌に灬
歵,止（とめへん）に責
歵,止（とめへん）に龶に貝
𣵀,さんずいに日に工
椏,木（きへん）に亞
箪,たけかんむりに単
疝,疒（やまいだれ）に山
𣴀,氵（さんずい）に刕
𣴀,氵（さんずい）に刀に刀に刀
絞,糸（いとへん）に交
絞,「コウ」は高校で習う読み方です。
燻,火（ひへん）に熏
犱,犭（けものへん）に丸
掉,てへんに卓
醗,酉（とりへん）に発
迹,しんにょう・しんにゅうに亦
袼,衤（ころもへん）に各
涸,さんずいに固
瓯,瓦（かわら）に区
快,りっしんべんに夬
歆,欠（かける・あくび・けんづくり）に音
羆,あみめ・あみがしら・よんがしらに熊
羆,あみめ・あみがしら・よんがしらに能に灬
箚,竹（たけかんむり）に㓣
俏,亻（にんべん）に
淐,氵（さんずい）に昌
淐,氵（さんずい）に日に日
翲,羽（はね）に票
翲,羽（はね）に覀に示
毯,毛（け）に炎
蓙,くさかんむりに座
眼,めへんに艮
眼,「まなこ」は中学校で習う読み方、「ゲン」は高校で習う読み方です。
鍑,金（かねへん）に复
牾,牛（うしへん）に吾
罡,罒（あみめ・あみがしら・よんがしら）に正
饆,しょくへんに畢
諡,ごんべんに㿽
諡,ごんべんに兮に皿
澂,さんずいに𢽠
腑,月（にくづき）に府
熀,火（ひへん）に晃
熀,火（ひへん）に日に光
糖,こめへんに唐
恕,心（こころ）に如
靡,非（ひ・あらず）に
𥫣,竹（たけかんむり）に与
淫,さんずいに㸒
淫,さんずいに爫に壬
紀,糸（いとへん）に己
顱,頁（おおがい・いちのかい）に盧
𨸶,こざと・こざとへんに
削,りっとうに肖
訶,ごんべんに可
𢮦,扌（てへん）に㑒
蔚,くさかんむりに尉
安,うかんむりに女
琳,王（おうへん・たまへん）に林
杤,きへんに万
酣,酉（とりへん）に甘
斷,おのづくりに㡭
梔,木（きへん）に巵
掻,てへんに𧈡
掻,てへんに又に虫
尨,尤に彡
驛,うまへんに睪
璣,王（たまへん・おうへん）に幾
釘,金（かねへん）に丁
葹,くさかんむりに施
葹,方に漢字に㐌
揉,てへんに柔
孳,子（こ）に茲
貎,豸（むじな・むじなへん）に兒
険,こざとへんに㑒
𥆩,目（めへん）に児
蕣,くさかんむりに舜
仞,亻（にんべん）に
臘,月（にくづき）に巤
皚,白（しろ・しろへん）に豈
彬,彡（さんづくり・けかざり）に林
彬,彡（さんづくり・けかざり）に木に木
釿,金（かねへん）に斤
調,言（ごんべん）に周
調,「ととのう」「ととのえる」は中学校で習う読み方です。
咷,口（くちへん）に兆
讁,訁（ごんべん）に
饐,しょくへんに壹
慘,りっしんべんに參
讞,言（ごんべん）に獻
龐,龍（りゅう）に广
洲,さんずいに州
妲,女（おんなへん）に旦
忮,忄（りっしんべん）に支
蚓,虫（むしへん）に引
蚓,虫（むしへん）に弓に丨
澳,さんずいに奧
彼,ぎょうにんべんに皮
後,彳（ぎょうにんべん）に幺に夂
後,「おくれる」は中学校で習う読み方です。
泮,氵（さんずい）に
扱,てへんに及
屁,尸（しかばね・かばね・しかばねかんむり・かばねだれ）に比
塢,土（つちへん・どへん）に烏
憍,忄（りっしんべん）に喬
憍,忄（りっしんべん）に呑に冋
硎,石（いしへん）に刑
硎,石（いしへん）に开に刂
埻,土（つちへん）に享
痘,やまいだれに豆
閼,門（もんがまえ・かどがまえ）に於
蘐,艹（くさかんむり）に諼
蘐,艹（くさかんむり）に言に爰
袾,衤（ころもへん）に朱
靗,靑（あお）に光
坼,土（つちへん）に斥
臗,月（にくづき）に寬
𧃴,艹（くさかんむり）に縮
𧃴,艹（くさかんむり）に糸に宿
羨,𦍌に㳄
羨,「セン」は高校で習う読み方です。
常,「とこ」は高校で習う読み方です。
覇,おおいかんむり・かなめのかしらに䩗
覇,おおいかんむり・かなめのかしらに革に月
种,禾（のぎへん）に中
椡,木（きへん）に致
椡,木（きへん）に至に攵
鼂,黽（べん・べんあし・かえる）に旦
殼,殳（るまた・ほこづくり）に壳
腆,月（にくづき）に典
蛸,虫（むしへん）に
殊,かばねへん・いちたへん・がつへんに朱
撼,てへんに感
漱,さんずいに欶
杖,木（きへん）に丈
濺,さんずいに賤
濺,さんずいに貝に戔
検,木（きへん）に㑒
萏,艹（くさかんむり）に臽
隱,こざとへんに㥯
慚,りっしんべんに斬
慚,りっしんべんに車に斤
鵯,鳥（とり）に卑
韑,韋（なめしがわ）に光
檋,木（きへん）に輂
緝,糸（いとへん）に咠
緝,糸（いとへん）に口に耳
擾,てへんに憂
鍱,金（かねへん）に枼
鍱,金（かねへん）に世に木
茼,艹（くさかんむり）に同
寇,宀（うかんむり）に元に攴
惻,りっしんべんに則
惻,りっしんべんに貝に刂
盲,目（め）に亡
牮,牛（うし）に代
冭,にすいに大
署,あみめ・あみがしら・よんがしらに者
錮,かねへんに固
捺,てへんに奈
痼,疒（やまいだれ）に固
跨,足（あしへん）に夸
秦,禾（のぎ）に𡗗
棭,木（きへん）に夜
民,「たみ」は中学校で習う読み方です。
鮗,魚（うおへん・さかなへん）に冬
鷹,鳥（とり・とりへん）に䧹
酢,酉（とりへん）に乍
鋺,金（かねへん）に宛
𣏓,木（きへん）に亐
灊,氵（さんずい）に鬵
筳,竹（たけかんむり）に廷
鉼,金（かねへん）に并
植,きへんに直
杷,木（きへん）に巴
華,「ケ」は高校で習う読み方です。
徙,彳（ぎょうにんべん）に歨
媋,女（おんなへん）に春
莧,艹（くさかんむり）に見
剉,刂（りっとう）に坐
紊,糸（いと）に文
梼,木（きへん）に寿
涴,氵（さんずい）に宛
仍,にんべんに乃
癩,疒（やまいだれ）に賴
析,きへんに斤
掾,てへんに彖
烘,火（ひへん）に共
健,にんべんに建
健,「すこやか」は中学校で習う読み方です。
洿,氵（さんずい）に夸
洿,氵（さんずい）に大に亏
沙,さんずいに少
淹,さんずいに奄
偲,にんべんに思
晴,ひへん・にちへんに青
髞,高（たかい）に喿
縋,糸（いとへん）に
衾,衣（ころも）に今
廓,广（まだれ）に郭
恠,りっしんべんに在
枚,きへんに攵
鹹,鹵（ろ・しお）に咸
棏,木（きへん）に㝵
狳,犭（けものへん）に余
弍,弋（よく・しきがまえ）に二
麵,むぎへん・ばくにょうに面
財,「サイ」は中学校で習う読み方です。
鑓,釒（かねへん）に
絏,糸（いとへん）に曳
硏,いしへんに幵
獯,犭（けものへん）に熏
揖,てへんに咠
揖,てへんに口に耳
濵,さんずいに賔
鏧,金（かね）に殸
鏧,金（かね）に声に殳
㟁,やまへんに厈
瀟,さんずいに蕭
飳,しょくへんに主
癜,疒（やまいだれ）に殿
娶,女（おんな）に取
抂,てへんに王
畜,田（た）に玄
緹,糸（いとへん）に是
鈺,金（かねへん）に玉
鵺,鳥（とり）に夜
眤,目（めへん）に尼
眤,目（めへん）に尸に匕
矮,矢（やへん）に委
矮,矢（やへん）に禾に女
訂,言（ごんべん）に丁
菽,くさかんむりに叔
欹,欠（かける・あくび・けんづくり）に奇
繁,糸（いと）に敏
鄜,おおざとに鹿
湈,氵（さんずい）に某
湈,氵（さんずい）に甘に木
授,てへんに受
授,「さずける」「さずかる」は中学校で習う読み方です。
崗,やま・やまかんむりに岡
莽,くさかんむりに㚏
莽,くさかんむりに大に廾
𨯯,金（かねへん）に遺
佺,亻（にんべん）に
涉,さんずいに步
窩,穴（あなかんむり）に咼
槾,木（きへん）に曼
螟,虫（むしへん）に冥
漌,氵（さんずい）に堇
過,しんにょう・しんにゅうに咼
過,「あやまつ」「あやまち」は高校で習う読み方です。
栲,木（きへん）に考
旒,方（ほうへん・かたへん）に𠂉に㐬
鏵,金（かねへん）に華
爬,爪（つめ・のつ・そうにょう）に巴
薔,くさかんむりに嗇
驘,馬（うま）に𦝠
墟,土（つちへん・どへん）に虛
簦,竹（たけかんむり）に登
貍,豸（むじな・むじなへん）に里
洊,氵（さんずい）に存
訵,言（ごんべん）に四
獗,けものへんに厥
録,かねへんに录
録,かねへんに彐に氺
蒋,くさかんむりに将
𩻩,魚（うおへん）に歮
竡,立（たつへん）に百
鍾,金（かねへん）に重
蔭,くさかんむりに陰
弽,弓（ゆみへん）に枼
弽,弓（ゆみへん）に世に木
嶗,山（やまへん）に勞
醫,酉（とり・ひよみのとり・さけのとり）に殹
醫,酉（とり・ひよみのとり・さけのとり）に医に殳
籾,米（こめへん）に刄
窈,穴（あなかんむり）に幼
萃,くさかんむりに卒
齶,齒（はへん）に咢
碤,石（いしへん）に英
考,おいかんむり・おいがしらに丂
芼,艹（くさかんむり）に毛
更,「ふける」「ふかす」は高校で習う読み方です。
誠,言（ごんべん）に成
誠,「まこと」は中学校で習う読み方です。
橒,木（きへん）に雲
橒,木（きへん）に雨に云
関,門（もんがまえ・かどがまえ）に关
倬,にんべんに卓
飪,しょくへんに壬
綰,糸（いとへん）に戾
熇,火（ひへん）に高
陞,こざとへんに𡉼
陞,こざとへんに升に土
説,言（ごんべん）に兑
説,「ゼイ」は高校で習う読み方です。
譟,ごんべんに喿
噇,口（くちへん）に童
噇,に立に里
蟁,虫（むし）に民に虫
蟁,䖵に民
泳,さんずいに永
弛,弓（ゆみへん）に也
竪,立（たつ）に臤
灯,火（ひへん）に丁
珀,王（おうへん・たまへん）に白
刔,りっとうに夬
惕,忄（りっしんべん）に易
惕,忄（りっしんべん）に日に勿
傾,にんべんに頃
郤,おおざとに谷
慓,りっしんべんに票
打,てへんに丁
閉,もんがまえ・かどがまえに才
閉,「とざす」は中学校で習う読み方です。
母,※母の成り立ちには諸説あり、上記以外にも【象形】の説もあります。
匍,勹（つつみがまえ・くがまえ）に甫
辻,しんにょう・しんにゅうに十
䌫,糸（いとへん）に覧
宿,うかんむりに佰
繖,糸（いとへん）に散
怠,心（こころ）に台
怠,心（こころ）に厶に口
酒,酉（とり・ひよみのとり・さけのとり）に氵
景,日（ひ・にち）に京
樚,木（きへん）に鹿
駛,馬（うまへん）に史
濰,氵（さんずい）に維
濰,氵（さんずい）に糸に隹
𪘂,歯（は）に㓞
𪘂,歯（は）に丯に刀
皹,皮（けがわ・ひのかわ）に軍
怫,りっしんべんに弗
膣,月（にくづき）に窒
獲,けものへんに蒦
檗,木（き）に辟
檗,木（き）に𡰪に辛
騃,馬（うまへん）に矣
騃,馬（うまへん）に厶に矢
倜,亻（にんべん）に周
苛,くさかんむりに可
畛,田（たへん）に㐱
襁,ころもへんに強
唀,口（くちへん）に秀
唀,口（くちへん）に禾に乃
澐,氵（さんずい）に雲
澐,氵（さんずい）に雨に云
嵯,山（やまへん）に差
踝,足（あしへん）に果
猒,犬（いぬ）に日に月
䬻,食（しょくへん）に㦮
襟,ころもへんに禁
襟,「キン」は高校で習う読み方です。
帽,はばへん・きんべんに冒
嶷,山（やま・やまかんむり）に疑
対,「ツイ」は中学校で習う読み方です。
藤,くさかんむりに月に𣳾
扛,てへんに工
福,しめすへんに畐
鼷,鼠（ねずみへん）に奚
懇,心（こころ）に貇
懇,「ねんごろ」は高校で習う読み方です。
鷂,鳥（とり）に䍃
瘢,疒（やまいだれ）に般
瘢,疒（やまいだれ）に舟に殳
仰,にんべんに卬
仰,「おおせ」は高校で習う読み方です。
㟽,山（やまへん）に票
㟽,山（やまへん）に覀に示
鱚,魚（うおへん・さかなへん）に喜
僌,亻（にんべん）に車に攵
衂,血（ち）に刄
熖,火（ひへん）に舀
熖,火（ひへん）に爫に臼
睽,目（めへん）に癸
皷,皮（けがわ・ひのかわ）に壴
晸,日（ひ・にち）に政
晸,日（ひ・にち）に正に攵
菷,くさかんむりに帚
帾,巾（はばへん）に者
懕,心（こころ）に厭
鷺,鳥（とり）に路
圃,囗（くにがまえ）に甫
医,かくしがまえに矢
医,※もとは別字とされていますが、「醫」の略体として用いられています。
償,にんべんに賞
裸,ころもへんに果
愈,心（こころ）に兪
苜,くさかんむりに目
鴑,鳥（とり）に奴
劫,力（ちから）に去
𩜙,しょくへんに尭
緻,糸（いとへん）に致
抵,てへんに氐
𥔎,石（いしへん）に竒
信,にんべんに言
刧,刀（かたな）に去
冷,にすいに令
箐,竹（たけかんむり）に靑
漪,氵（さんずい）に猗
漪,氵（さんずい）に犭に奇
鉥,金（かねへん）に朮
夘,卩（わりふ・ふしづくり）に夕
勣,力（ちから）に責
賜,かいへんに易
賜,かいへんに日に勿
褧,衣（ころも）に耿
褧,衣（ころも）に耳に火
橉,木（きへん）に粦
榲,木（きへん）に𥁕
榲,木（きへん）に囚に皿
穿,あなかんむりに牙
譃,言（ごんべん）に虛
鯯,魚（うおへん）に制
㓇,冫（にすい）に夭
逐,しんにょう・しんにゅうに豕
簟,竹（たけかんむり）に覀に早
𪚲,亀（かめ）に月
蚋,虫（むしへん）に內
俾,にんべんに卑
迓,しんにょう・しんにゅうに
熢,火（ひへん）に逢
擲,てへんに鄭
沾,さんずいに占
灰,火（ひ）に厂
灰,「カイ」は中学校で習う読み方です。
限,こざとへんに艮
税,禾（のぎへん）に兑
鋐,金（かねへん）に宏
逋,しんにょう・しんにゅうに甫
嗄,口（くちへん）に夏
湧,さんずいに勇
湌,氵（さんずい）に食
圻,土（つちへん・どへん）に斤
偀,にんべんに英
犰,犭（けものへん）に九
齗,齒（はへん）に斤
竄,穴（あなかんむり）に鼠
坻,土（つちへん）に氐
坻,土（つちへん）に氏に一
橋,きへんに喬
橋,きへんに呑に冋
設,言（ごんべん）に殳
格,きへんに各
格,「コウ」は高校で習う読み方です。
窗,あなかんむりに囱
答,たけかんむりに合
穗,禾（のぎへん）に惠
勝,「まさる」は中学校で習う読み方です。
朮,𣎳に丶
胝,月（にくづき）に氐
惑,心（こころ）に或
茸,くさかんむりに耳
纛,毒に縣
纛,毒に県に系
慣,りっしんべんに貫
腹,にくづきに复
虓,九に虎
枩,木（き）に公
螵,虫（むしへん）に票
蛼,虫（むしへん）に車
樾,木（きへん）に越
鵲,鳥（とり）に昔
莔,艹（くさかんむり）に囧
髟,镸に彡
豈,豆（まめ）に山
咽,くちへんに因
哯,口（くちへん）に見
欽,欠（かける・あくび・けんづくり）に金
喩,くちへんに兪
鄒,おおざとに芻
衣,「ころも」は中学校で習う読み方です。
琛,王（たまへん・おうへん）に罙
洗,さんずいに先
鸛,鳥（とり）に雚
摯,手（て）に執
汭,氵（さんずい）に內
顏,頁（おおがい・いちのかい）に彥
囉,口（くちへん）に羅
猟,けものへんに鼡
檢,木（きへん）に僉
𣇃,日（ひ・にち）に龹
毀,殳（るまた・ほこづくり）に臼に土
稟,禾（のぎ）に㐭
朁,曰（ひらび・いわく）に旡に旡
壯,士（さむらい）に爿
飃,風（かぜ）に票
罵,あみめ・あみがしら・よんがしらに馬
綦,糸（いと）に其
音,立に日
音,「イン」は中学校で習う読み方です。
涅,さんずいに圼
涅,さんずいに日に土
鉽,金（かねへん）に式
眩,目（めへん）に玄
岷,山（やまへん）に民
覲,見（みる）に堇
姚,女（おんなへん）に兆
熄,火（ひへん）に息
岣,山（やまへん）に句
罐,缶（ほとぎ・ほとぎへん・みずがめ）に雚
脧,月（にくづき）に夋
麀,鹿（しか）に匕
笆,竹（たけかんむり）に巴
閇,もんがまえ・かどがまえに下
勢,力（ちから）に埶
顯,頁（おおがい・いちのかい）に㬎
睥,目（めへん）に卑
驂,馬（うまへん）に參
偓,亻（にんべん）に屋
謦,言（げん・ことば）に殸
謦,言（げん・ことば）に声に殳
蛙,虫（むしへん）に圭
尅,寸（すん・すんづくり）に克
懍,りっしんべんに稟
𧲸,豸（むじな・むじなへん）に占
桅,木（きへん）に危
鰌,魚（うおへん・さかなへん）に酋
閴,門（もんがまえ・かどがまえ）に貝
滄,さんずいに倉
跑,足（あしへん）に
枋,木（きへん）に方
悧,りっしんべんに利
妟,女（おんな）に日
黷,黑（くろ）に𧶠
翎,羽（はね）に令
衄,血（ち）に丑
膝,にくづきに桼
鉊,金（かねへん）に召
鉊,金（かねへん）に刀に口
仈,亻（にんべん）に八
噦,口（くちへん）に歳
宅,うかんむりに乇
柊,木（きへん）に冬
混,さんずいに昆
碕,石（いしへん）に奇
浜,さんずいに兵
繒,糸（いとへん）に曾
鉂,金（かねへん）に史
峪,山（やまへん）に谷
匐,勹（つつみがまえ・くがまえ）に畐
粂,米（こめ）に久
奢,大（だいかんむり・だいがしら）に者
躑,足（あしへん）に鄭
闋,門（もんがまえ・かどがまえ）に癸
薓,艹（くさかんむり）に𣹰
梛,木（きへん）に那
因,くにがまえに大
因,「よる」は高校で習う読み方です。
歘,欠（かける・あくび・けんづくり）に焱
歘,欠（かける・あくび・けんづくり）に火に火に火
瘁,疒（やまいだれ）に卒
措,てへんに昔
荄,艹（くさかんむり）に亥
塗,土（つち）に涂
塗,土（つち）に氵に余
醱,酉（とりへん）に發
諏,言（ごんべん）に取
荷,くさかんむりに何
荷,「カ」は中学校で習う読み方です。
伾,亻（にんべん）に丕
伾,亻（にんべん）に不に一
嚕,口（くちへん）に魯
嚕,口（くちへん）に魚に日
坩,土（つちへん・どへん）に甘
僅,にんべんに堇
櫑,木（きへん）に畾
菥,艹（くさかんむり）に析
潭,さんずいに[
潭,さんずいに覀に早
鵞,鳥（とり）に我
鰝,魚（うおへん）に高
纎,糸（いとへん）に韯
遅,しんにょう・しんにゅうに𡱝
絋,糸（いとへん）に広
細,糸（いとへん）に田
蚣,虫（むしへん）に公
崙,山（やま・やまかんむり）に侖
費,貝（かい・こがい）に弗
費,「ついやす」「ついえる」は中学校で習う読み方です。
鯷,魚（うおへん）に是
缺,缶（ほとぎ・ほとぎへん・みずがめ）に夬
掘,てへんに屈
磹,石（いしへん）に覀に早
礛,石（いしへん）に監
孱,尸に孨
鋧,金（かねへん）に見
秂,禾（のぎ）に人
桶,木（きへん）に甬
癨,疒（やまいだれ）に霍
導,寸（すん・すんづくり）に道
壠,土（つちへん）に龍
鄺,おおざとに廣
椚,木（きへん）に門
頂,おおがい・いちのかいに丁
慎,りっしんべんに真
纏,糸（いとへん）に廛
蜚,虫（むし）に非
瓶,瓦（かわら）に并
煮,れっか・れんがに者
樊,棥に大
竦,立（たつへん）に束
哱,口（くちへん）に孛
埏,土（つちへん）に延
鑯,金（かねへん）に韱
楫,木（きへん）に咠
楫,木（きへん）に口に耳
餞,しょくへんに戔
餞,しょくへんに戈に戈
臥,臣（しん）に人
嘰,口（くちへん）に幾
璽,玉（たま）に爾
荼,くさかんむりに余
嬙,女（おんなへん）に嗇
誘,言（ごんべん）に秀
蒟,くさかんむりに竘
蒟,くさかんむりに立に句
麝,鹿（しか・しかへん）に射
麝,鹿（しか・しかへん）に身に寸
映,ひへん・にちへんに央
映,「はえる」は中学校で習う読み方です。
脽,月（にくづき）に隹
磴,石（いしへん）に登
琦,王（たまへん・おうへん）に奇
琦,王（たまへん・おうへん）に大に可
牡,牛（うしへん）に土
拂,てへんに弗
響,音（おと）に鄕
囹,囗（くにがまえ）に令
鬢,髟（かみがしら・かみかんむり）に賓
恤,りっしんべんに血
糴,米（こめ）に入に翟
糴,籴に翟
姒,女（おんなへん）に以
崱,山（やま・やまかんむり）に則
䠖,足（あしへん）に咨
䠖,足（あしへん）にに口
皆,白（しろ・しろへん）に比
湞,氵（さんずい）に貞
祝,しめすへんに兄
憭,忄（りっしんべん）に尞
踏,あしへんに沓
皋,白（しろ）に夲
皋,白（しろ）に大に十
愐,忄（りっしんべん）に面
碯,石（いしへん）に𡿺
碯,石（いしへん）に巛に囟
哇,口（くちへん）に圭
洟,さんずいに夷
臃,月（にくづき）に雍
湿,さんずいに显
岧,山（やま・やまかんむり）に召
岧,山（やま・やまかんむり）に刀に口
稛,禾（のぎへん）に囷
京,「ケイ」は中学校で習う読み方です。
夤,夕（ゆう・ゆうべ）に寅
髒,骨（ほねへん）に葬
敄,攵（のぶん・ぼくづくり）に矛
廻,廴（えんにょう・いんにょう）に回
妁,女（おんなへん）に勺
插,てへんに臿
蕀,くさかんむりに棘
蕀,くさかんむりに朿に朿
惲,忄（りっしんべん）に軍
統,糸（いとへん）に充
統,「すべる」は高校で習う読み方です。
䇳,たけかんむりに㦮
暈,日（ひ・にち）に軍
嗝,口（くちへん）に鬲
鮞,魚（うおへん）に而
圍,囗（くにがまえ）に韋
荑,艹（くさかんむり）に夷
棲,木（きへん）に妻
鏨,金(かね）に斬
耗,すきへん・らいすきに毛
耗,「コウ」は高校で習う読み方です。
偃,にんべんに匽
免,「まぬかれる」は高校で習う読み方です。
恆,りっしんべんに亙
惶,りっしんべんに皇
鏡,かねへんに竟
摹,手（て）に莫
黐,黍（きび）に离
菀,艹（くさかんむり）に宛
市,※市の成り立ちには諸説あり、意符・音符が上記と異なる構成の説もあります。
玩,おうへん・たまへんに元
盉,皿（さら）に禾
瀏,さんずいに劉
𥒎,石（いしへん）に㦮
顥,頁（おおがい・いちのかい）に景
惚,りっしんべんに忽
䋆,糸（いとへん）に戸
曠,日（ひへん・にちへん）に廣
狐,けものへんに瓜
靚,靑（あお）に見
胞,にくづきに包
借,にんべんに昔
借,にんべんに龷に日
帖,巾（はばへん・きんべん）に占
截,𢦏に隹
繦,糸（いとへん）に強
騰,馬（うま）に月に龹
騰,月に駦
餈,食（しょく）に
桕,木（きへん）に臼
郝,おおざとに赤
陶,こざとへんに匋
搓,てへんに差
撫,てへんに無
柝,木（きへん）に斥
蚕,虫（むし）に天
臏,月（にくづき）に賓
孚,子（こ）に爫
杳,日（ひ・にち）に木
壻,士（さむらい）に胥
枇,木（きへん）に比
吠,口（くちへん）に犬
厤,厂（がんだれ）に秝
厤,厂（がんだれ）に禾に禾
憾,りっしんべんに感
棒,きへんに奉
它,宀（うかんむり）に匕
𡧃,うかんむりに亍
栢,木（きへん）に百
夆,夂（ふゆがしら・ちかんむり）に丰
鷧,鳥（とり・とりへん）に壹
痾,疒（やまいだれ）に阿
蝠,虫（むしへん）に畐
儵,攸に黑
俘,にんべんに孚
酲,酉（とりへん）に
酲,酉（とりへん）に口に𡈼
委,女（おんな）に禾
澡,さんずいに喿
澡,さんずいに品に木
拡,てへんに広
蠅,虫（むしへん）に黽
梫,木（きへん）に𠬶
烔,火（ひへん）に同
應,心（こころ）に䧹
唼,口（くちへん）に妾
唼,口（くちへん）に立に女
煐,火（ひへん）に英
𡈽,土（つち）に丶
醒,酉（とりへん）に星
臁,月（にくづき）に
依,にんべんに衣
依,「エ」は高校で習う読み方です。
紒,糸（いとへん）に介
坑,つちへん・どへんに亢
衊,血（ち）に蔑
韜,韋（なめしがわ）に舀
韜,韋（なめしがわ）に爫に臼
惔,忄（りっしんべん）に炎
瞀,目（め）に敄
瞀,目（め）に矛に攵
農,辰（たつ・しんのたつ）に曲
鵙,鳥（とり）に貝
珣,王（たまへん・おうへん）に旬
弉,廾（にじゅうあし・こまぬき）に壯
躓,足（あしへん）に質
垓,土（つちへん・どへん）に亥
沸,さんずいに弗
師,𠂤に帀
迻,しんにょう・しんにゅうに多
迻,しんにょう・しんにゅうに夕に夕
臻,至（いたるへん）に秦
渠,さんずいに巨に木
渠,洰に木
蒔,くさかんむりに時
舛,夕に㐄
淡,さんずいに炎
揚,てへんに昜
勗,力（ちから）に日に且
勗,日に助
戾,とだれ・とかんむりに犬
堕,土（つち）に隋
魂,鬼（おに）に云
攄,扌（てへん）に慮
懿,心（こころ）に壹に次
懿,壹に恣
簎,竹（たけかんむり）に措
釼,かねへんに刄
𥶡,竹（たけかんむり）に輪
𥶡,竹（たけかんむり）に車に侖
藻,くさかんむりに澡
藻,くさかんむりに氵に喿
贓,貝（かいへん）に臧
怙,りっしんべんに古
邈,しんにょう・しんにゅうに貌
邈,しんにょう・しんにゅうに豸に皃
𦙾,月（にくづき）に圣
𦙾,月（にくづき）に又に土
疣,疒（やまいだれ）に尤
癭,疒（やまいだれ）に嬰
堹,土（つちへん）に重
夅,ふゆがしら・ちかんむりに㐄
徼,彳（ぎょうにんべん）に敫
鎭,かねへんに眞
蔲,艹（くさかんむり）に𡨥
朧,月（つきへん）に龍
逶,しんにょう・しんにゅうに委
逶,しんにょう・しんにゅうに禾に女
壢,土（つちへん）に歷
鰍,魚（うおへん・さかなへん）に秋
茫,くさかんむりに汒
茫,くさかんむりに氵に亡
鮓,魚（うおへん・さかなへん）に乍
宇,うかんむりに于
犹,けものへんに尤
蹶,足（あしへん）に厥
波,さんずいに皮
誄,ごんべんに耒
隗,こざとへんに鬼
孕,子（こ）に乃
揭,てへんに曷
侮,にんべんに毎
侮,「あなどる」は高校で習う読み方です。
投,てへんに殳
淀,さんずいに定
皇,白（しろ）に王
浤,さんずいに宏
濉,氵（さんずい）に睢
濉,氵（さんずい）に目に隹
甸,勹（つつみがまえ・くがまえ）に田
躙,足（あしへん）に閵
脬,月（にくづき）に孚
陁,こざと・こざとへんに㐌
繹,糸（いとへん）に睪
陦,こざとへんに寿
翰,羽（はね）に倝
翰,羽（はね）に龺に人
帀,巾（はば）に一
鑲,金（かねへん）に襄
