漢字,異体字
荻,藡
流,㳅
敷,𢾭
奪,夺
踌,躊
䝤,獠
酪,嗠
僊,僲
昇,曻
徑,径
䢵,鄖
謁,謁
杓,𣏐
櫽,檃
舂,㫪
舂,𣇃
戯,戲
戯,戱
戯,戏
叵,尀
㒒,僕
㒒,䑑
万,萬
蕚,萼
悵,怅
啞,唖
啞,哑
為,爲
為,为
畫,画
鋳,鑄
輌,輛
疏,䟽
羈,覊
権,權
権,权
褝,襌
嘆,嘆
亰,京
琢,琢
捜,搜
捜,𢯱
捜,摉
海,海
楽,樂
楽,乐
峩,峨
褁,裹
釡,釜
蛮,蠻
囊,嚢
褓,緥
壌,壤
愴,怆
膚,肤
兌,兊
兌,兑
傷,伤
樣,様
嶴,岙
纘,纉
䑓,台
䑓,臺
䑓,坮
獨,独
鼇,鰲
歯,齒
曄,曅
曄,晔
曄,曗
衟,道
普,暜
凖,準
蹰,躕
𥁊,鉢
𥁊,盋
𥁊,缽
曺,曹
曺,𣍘
盂,𥁄
碑,碑
倐,倏
㫪,舂
㫪,𣇃
瑯,琅
鴎,鷗
鱪,鱰
擴,拡
擴,扩
𦚰,脇
𦚰,䏮
葊,菴
高,髙
貭,質
曆,暦
幺,么
咜,咤
𦊆,罡
桿,杆
聃,耼
蕊,蘂
蕊,蕋
𧯇,豅
悶,㥃
𡌛,埜
𡌛,壄
𡌛,㙒
簡,𥳑
壘,塁
殲,殱
對,対
對,对
䏮,脇
䏮,𦚰
蘋,薲
悴,忰
姫,姬
苡,苢
嘘,噓
攤,摊
攤,擹
温,溫
紙,帋
𣓤,橈
𣓤,桡
歌,謌
申,𦥔
畚,奙
腴,𦚤
涼,凉
嚶,嘤
籀,籒
悉,怸
嫩,嫰
嫩,媆
記,𧪄
鉱,鑛
淬,㳃
𡉻,埣
謚,諡
迫,廹
聽,聴
軫,𨋏
戸,戶
戸,户
護,护
寓,庽
鳬,鳧
鳬,凫
胎,孡
槑,梅
槑,梅
槑,楳
冦,寇
冦,𡨥
冦,宼
冦,㓂
劔,剣
劔,劍
劔,釼
劔,劒
劔,剱
劔,𠝏
劔,剑
劔,劎
蕯,薩
棻,梤
棻,㯣
峨,峩
麾,𪎮
𧦅,謳
櫨,枦
櫨,栌
茎,莖
條,条
楕,橢
楕,椭
楕,㰐
楕,㯐
諸,諸
挾,挟
慨,慨
篤,䔍
遒,逎
沿,㳂
嶋,島
嶋,嶌
嶋,㠀
嶋,嶹
嶋,岛
鉢,𥁊
鉢,盋
鉢,缽
冀,兾
尓,爾
