漢字,音訓,読み方,表内読み
价,音,カイ,,表内読み
𥉌,音,トウ,,表内読み
己,訓,おのれ,,表内読み
己,訓,つちのと,,表外読み
己,音,コ,,表内読み
己,音,キ,,表内読み
閊,訓,つか,える,表内読み
虵,訓,へび,,表内読み
虵,音,ジャ,,表内読み
虵,音,ダ,,表内読み
虵,音,イ,,表内読み
虵,音,タ,,表内読み
柀,音,ヒ,,表内読み
布,訓,ぬの,,表内読み
布,訓,し,く,表外読み
布,音,フ,,表内読み
布,音,ホ,,表外読み
惮,訓,はばか,る,表内読み
惮,訓,はばか,り,表内読み
惮,音,タン,,表内読み
吶,訓,ども,る,表内読み
吶,音,トツ,,表内読み
吶,音,ドツ,,表内読み
玞,音,フ,,表内読み
蠮,音,エツ,,表内読み
簓,訓,ささら,,表内読み
幫,訓,たす,ける,表内読み
幫,訓,なかま,,表内読み
幫,音,ホウ,,表内読み
漑,訓,そそ,ぐ,表内読み
漑,訓,すす,ぐ,表内読み
漑,音,ガイ,,表内読み
漑,音,カイ,,表内読み
都,訓,みやこ,,表内読み
都,訓,すべ,て,表外読み
都,音,ト,,表内読み
都,音,ツ,,表内読み
娣,訓,いもうと,,表内読み
娣,音,テイ,,表内読み
甍,訓,いらか,,表内読み
甍,音,ボウ,,表内読み
甍,音,モウ,,表内読み
倒,訓,たお,れる,表内読み
倒,訓,たお,す,表内読み
倒,訓,さかさま,,表外読み
倒,訓,さかしま,,表外読み
倒,訓,こ,ける,表外読み
倒,音,トウ,,表内読み
帆,訓,ほ,,表内読み
帆,音,ハン,,表内読み
愉,訓,たの,しむ,表外読み
愉,訓,たの,しい,表外読み
愉,音,ユ,,表内読み
蠡,訓,ひさご,,表内読み
蠡,訓,にな,,表内読み
蠡,訓,ほらがい,,表内読み
蠡,音,レイ,,表内読み
蠡,音,リ,,表内読み
蠡,音,ラ,,表内読み
隴,訓,おか,,表内読み
隴,訓,うね,,表内読み
隴,音,ロウ,,表内読み
隴,音,リョウ,,表内読み
粲,訓,しらげよね,,表内読み
粲,訓,いい,,表内読み
粲,訓,あき,らか,表内読み
粲,訓,あざ,やか,表内読み
粲,訓,わら,う,表内読み
粲,音,サン,,表内読み
㚖,音,コウ,,表内読み
㚖,音,タク,,表内読み
冝,訓,よろ,しい,表内読み
冝,訓,よ,い,表内読み
冝,訓,むべ,,表内読み
冝,訓,よろ,しく～べし,表内読み
冝,音,ギ,,表内読み
巢,訓,す,,表内読み
巢,音,ソウ,,表内読み
掏,訓,えら,ぶ,表内読み
掏,訓,す,る,表内読み
掏,音,トウ,,表内読み
纐,訓,しぼ,り,表内読み
纐,音,コウ,,表内読み
𡢽,訓,おんななる,,表内読み
雲,訓,くも,,表内読み
雲,音,ウン,,表内読み
轣,音,レキ,,表内読み
轣,音,リャク,,表内読み
芷,音,シ,,表内読み
鑽,訓,きり,,表内読み
鑽,訓,き,る,表内読み
鑽,訓,のみ,,表内読み
鑽,訓,たがね,,表内読み
鑽,訓,うが,つ,表内読み
鑽,音,サン,,表内読み
毫,訓,ほそげ,,表内読み
毫,訓,わず,か,表内読み
毫,訓,すこ,し,表内読み
毫,訓,ふで,,表内読み
毫,音,ゴウ,,表内読み
膠,訓,にかわ,,表内読み
膠,訓,にかわ,する,表内読み
膠,訓,つ,く,表内読み
膠,訓,かた,い,表内読み
膠,音,コウ,,表内読み
傕,音,カク,,表内読み
煖,訓,あたた,か,表内読み
煖,訓,あたた,かい,表内読み
煖,訓,あたた,める,表内読み
煖,音,ダン,,表内読み
煖,音,ナン,,表内読み
燎,訓,かがりび,,表内読み
燎,訓,や,く,表内読み
燎,音,リョウ,,表内読み
棔,音,コン,,表内読み
察,訓,み,る,表外読み
察,訓,し,る,表外読み
察,訓,あき,らか,表外読み
察,音,サツ,,表内読み
玘,音,キ,,表内読み
迭,訓,か,わる,表外読み
迭,訓,たが,いに,表外読み
迭,音,テツ,,表内読み
服,訓,したが,う,表外読み
服,訓,きもの,,表外読み
服,訓,き,る,表外読み
服,訓,の,む,表外読み
服,音,フク,,表内読み
咭,音,キツ,,表内読み
咭,音,カツ,,表内読み
筅,訓,ささら,,表内読み
筅,音,セン,,表内読み
偣,音,エン,,表内読み
稭,音,カイ,,表内読み
稭,音,カツ,,表内読み
比,訓,くら,べる,表内読み
比,訓,たぐい,,表外読み
