漢字,音訓,読み方,表内読み
逧,訓,さこ,,表内読み
筤,音,ロウ,,表内読み
鈹,音,ヒ,,表内読み
救,訓,すく,う,表内読み
救,訓,たす,ける,表外読み
救,訓,すく,い,表外読み
救,音,キュウ,,表内読み
救,音,グ,,表外読み
救,音,ク,,表外読み
嗜,訓,たしな,む,表内読み
嗜,訓,たしな,み,表内読み
嗜,音,シ,,表内読み
詬,訓,はずかし,める,表内読み
詬,訓,はじ,,表内読み
詬,訓,ののし,る,表内読み
詬,音,コウ,,表内読み
詬,音,ク,,表内読み
訕,訓,そし,る,表内読み
訕,音,サン,,表内読み
訕,音,セン,,表内読み
滅,訓,ほろ,びる,表内読み
滅,訓,ほろ,ぼす,表内読み
滅,音,メツ,,表内読み
滅,音,ベツ,,表外読み
皓,訓,しろ,い,表内読み
皓,訓,ひか,る,表内読み
皓,訓,きよ,い,表内読み
皓,音,コウ,,表内読み
馘,訓,みみき,る,表内読み
馘,訓,くびき,る,表内読み
馘,音,カク,,表内読み
衍,訓,はびこ,る,表内読み
衍,訓,あふ,れる,表内読み
衍,訓,ひろ,がる,表内読み
衍,訓,し,く,表内読み
衍,訓,ひろ,い,表内読み
衍,訓,おお,きい,表内読み
衍,訓,あま,り,表内読み
衍,音,エン,,表内読み
双,訓,ふた,,表内読み
双,訓,ふた,つ,表外読み
双,訓,なら,ぶ,表外読み
双,音,ソウ,,表内読み
髣,訓,に,る,表内読み
髣,訓,ほの,か,表内読み
髣,訓,かす,か,表内読み
髣,音,ホウ,,表内読み
脈,訓,すじ,,表外読み
脈,音,ミャク,,表内読み
脈,音,バク,,表外読み
劣,訓,おと,る,表内読み
劣,訓,いや,しい,表外読み
劣,音,レツ,,表内読み
却,訓,しりぞ,く,表外読み
却,訓,しりぞ,ける,表外読み
却,訓,かえ,って,表外読み
却,音,キャク,,表内読み
驊,音,カ,,表内読み
緇,訓,くろ,,表内読み
緇,訓,くろ,い,表内読み
緇,訓,くろぎぬ,,表内読み
緇,訓,くろ,む,表内読み
緇,音,シ,,表内読み
嘩,訓,かまびす,しい,表内読み
嘩,音,カ,,表内読み
裲,訓,うちかけ,,表内読み
裲,音,リョウ,,表内読み
闡,訓,ひら,く,表内読み
闡,訓,ひろ,まる,表内読み
闡,訓,あき,らか,表内読み
闡,音,セン,,表内読み
卸,訓,おろ,す,表内読み
卸,訓,おろし,,表内読み
卸,音,シャ,,表外読み
賤,訓,いや,しい,表内読み
賤,訓,やす,い,表内読み
賤,訓,いや,しむ,表内読み
賤,訓,いや,しめる,表内読み
賤,訓,しず,,表内読み
賤,訓,あや,しい,表内読み
賤,音,セン,,表内読み
賤,音,ゼン,,表内読み
駭,訓,おどろ,く,表内読み
駭,訓,おどろ,かす,表内読み
駭,訓,みだ,れる,表内読み
駭,音,ガイ,,表内読み
駭,音,カイ,,表内読み
勻,音,イン,,表内読み
勻,音,キン,,表内読み
郶,訓,べ,,表内読み
郶,訓,くみ,,表内読み
郶,訓,わ,ける,表内読み
郶,訓,す,べる,表内読み
郶,訓,つかさ,,表内読み
郶,音,ブ,,表内読み
郶,音,ホ,,表内読み
郶,音,ホウ,,表内読み
毇,音,キ,,表内読み
迤,訓,ゆ,く,表内読み
迤,音,イ,,表内読み
迤,音,タ,,表内読み
襾,音,ア,,表内読み
亦,訓,また,,表内読み
亦,音,エキ,,表内読み
洮,訓,あら,う,表内読み
洮,音,トウ,,表内読み
蠓,音,ボウ,,表内読み
蠓,音,モウ,,表内読み
頲,音,テイ,,表内読み
漿,訓,おもゆ,,表内読み
漿,訓,しる,,表内読み
漿,訓,のみもの,,表内読み
漿,音,ショウ,,表内読み
赬,訓,あか,い,表内読み
赬,音,テイ,,表内読み
漂,訓,ただよ,う,表内読み
漂,訓,さら,す,表外読み
漂,音,ヒョウ,,表内読み
誉,訓,ほま,れ,表内読み
誉,訓,ほ,める,表外読み
誉,音,ヨ,,表内読み
老,訓,お,いる,表内読み
老,訓,ふ,ける,表内読み
老,音,ロウ,,表内読み
倂,訓,あわ,せる,表内読み
倂,訓,なら,ぶ,表内読み
倂,訓,なら,べる,表内読み
倂,訓,しか,し,表内読み
倂,音,ヘイ,,表内読み
啁,音,トウ,,表内読み
啁,音,チョウ,,表内読み
啁,音,チュウ,,表内読み
葰,音,スイ,,表内読み
葰,音,シュン,,表内読み
楡,訓,にれ,,表内読み
楡,音,ユ,,表内読み
岬,訓,みさき,,表内読み
岬,音,コウ,,表外読み
蜙,音,ショウ,,表内読み
芝,訓,しば,,表内読み
芝,音,シ,,表外読み
酔,訓,よ,う,表内読み
酔,音,スイ,,表内読み
眺,訓,なが,める,表内読み
眺,音,チョウ,,表内読み
窻,訓,まど,,表内読み
窻,音,ソウ,,表内読み
开,音,ケン,,表内読み
开,音,カイ,,表内読み
礮,訓,おおづつ,,表内読み
礮,訓,つつ,,表内読み
礮,音,ホウ,,表内読み
竈,訓,かまど,,表内読み
竈,音,ソウ,,表内読み
冒,訓,おか,す,表内読み
冒,訓,おお,う,表外読み
冒,訓,むさぼ,る,表外読み
冒,訓,ねた,む,表外読み
冒,音,ボウ,,表内読み
冒,音,ボク,,表外読み
冒,音,モウ,,表外読み
棺,訓,ひつぎ,,表外読み
棺,音,カン,,表内読み
鄔,音,オ,,表内読み
鄔,音,ウ,,表内読み
槯,音,サイ,,表内読み
薼,音,チン,,表内読み
薼,音,ジン,,表内読み
碍,訓,さまた,げる,表内読み
碍,音,ガイ,,表内読み
碍,音,ゲ,,表内読み
紋,訓,あや,,表外読み
紋,音,モン,,表内読み
紋,音,ブン,,表外読み
妍,訓,うつく,しい,表内読み
妍,音,ケン,,表内読み
妍,音,ゲン,,表内読み
妨,訓,さまた,げる,表内読み
妨,音,ボウ,,表内読み
妨,音,ホウ,,表外読み
蓬,訓,よもぎ,,表内読み
蓬,音,ホウ,,表内読み
挼,音,ダ,,表内読み
挼,音,サイ,,表内読み
挼,音,スイ,,表内読み
隍,訓,ほり,,表内読み
隍,訓,からぼり,,表内読み
隍,訓,むな,しい,表内読み
隍,音,コウ,,表内読み
珋,音,リュウ,,表内読み
砡,音,ギク,,表内読み
砡,音,ギョク,,表内読み
胵,音,シ,,表内読み
懷,訓,ふところ,,表内読み
懷,訓,なつ,く,表内読み
懷,訓,なつ,ける,表内読み
懷,訓,なつ,かしい,表内読み
懷,訓,なつ,かしむ,表内読み
懷,訓,いだ,く,表内読み
懷,訓,おも,う,表内読み
懷,音,カイ,,表内読み
綃,音,ショウ,,表内読み
燄,訓,ほのお,,表内読み
燄,訓,も,える,表内読み
燄,音,エン,,表内読み
暑,訓,あつ,い,表内読み
暑,音,ショ,,表内読み
摠,訓,ふさ,,表内読み
摠,訓,す,べる,表内読み
摠,訓,すべ,て,表内読み
摠,音,ソウ,,表内読み
磅,訓,ポンド,,表内読み
磅,音,ホウ,,表内読み
辞,訓,や,める,表内読み
辞,訓,ことば,,表外読み
辞,訓,ことわ,る,表外読み
辞,音,ジ,,表内読み
恢,訓,ひろ,い,表内読み
恢,訓,おお,きい,表内読み
恢,音,カイ,,表内読み
薛,訓,かわらよもぎ,,表内読み
薛,訓,はますげ,,表内読み
薛,音,セツ,,表内読み
咩,音,ビ,,表内読み
咩,音,ミ,,表内読み
鉛,訓,なまり,,表内読み
鉛,訓,おしろい,,表外読み
鉛,音,エン,,表内読み
宄,音,キ,,表内読み
㷀,訓,ひと,り,表内読み
㷀,訓,ひとりもの,,表内読み
㷀,訓,うれ,える,表内読み
㷀,音,ケイ,,表内読み
絓,訓,しけ,,表内読み
絓,音,カイ,,表内読み
坳,訓,くぼ,み,表内読み
坳,音,オウ,,表内読み
坳,音,ヨウ,,表内読み
侮,訓,あなど,る,表内読み
侮,音,ブ,,表内読み
侮,音,ム,,表内読み
蹂,訓,ふ,む,表内読み
蹂,訓,ふみにじ,る,表内読み
蹂,音,ジュウ,,表内読み
礰,音,レキ,,表内読み
礰,音,リャク,,表内読み
廬,訓,いおり,,表内読み
廬,訓,いえ,,表内読み
廬,音,ロ,,表内読み
廬,音,リョ,,表内読み
廬,音,ル,,表内読み
扠,訓,やす,,表内読み
扠,訓,さ,す,表内読み
扠,訓,はさみと,る,表内読み
扠,訓,さて,,表内読み
扠,音,サ,,表内読み
埭,音,タイ,,表内読み
督,訓,み,る,表外読み
督,訓,ただ,す,表外読み
督,訓,うなが,す,表外読み
督,訓,かしら,,表外読み
督,訓,ひき,いる,表外読み
督,音,トク,,表内読み
癒,訓,い,える,表内読み
癒,訓,い,やす,表内読み
癒,音,ユ,,表内読み
栬,訓,もみじ,,表内読み
栬,音,セイ,,表内読み
矣,音,イ,,表内読み
斑,訓,まだら,,表外読み
斑,訓,ふ,,表外読み
斑,訓,ぶち,,表外読み
斑,音,ハン,,表内読み
鉦,訓,かね,,表内読み
鉦,音,ショウ,,表内読み
鉦,音,セイ,,表内読み
嬖,訓,おきにい,り,表内読み
嬖,音,ヘイ,,表内読み
盍,訓,おお,う,表内読み
盍,訓,なん,ぞ,表内読み
盍,訓,なん,ぞ～ざる,表内読み
盍,訓,あ,う,表内読み
盍,音,コウ,,表内読み
學,訓,まな,ぶ,表内読み
學,音,ガク,,表内読み
褸,訓,つづれ,,表内読み
褸,訓,ぼろ,,表内読み
褸,音,ル,,表内読み
褸,音,ロウ,,表内読み
緂,訓,だん,,表内読み
緂,音,タン,,表内読み
悝,訓,うれ,える,表内読み
悝,音,リ,,表内読み
悝,音,カイ,,表内読み
噭,音,キョウ,,表内読み
餉,訓,かれいい,,表内読み
餉,訓,かれい,,表内読み
餉,訓,かて,,表内読み
餉,訓,おく,る,表内読み
餉,音,ショウ,,表内読み
贈,訓,おく,る,表内読み
贈,音,ゾウ,,表内読み
贈,音,ソウ,,表内読み
実,訓,み,,表内読み
実,訓,みの,る,表内読み
実,訓,まこと,,表外読み
実,訓,み,ちる,表外読み
実,訓,さね,,表外読み
実,訓,まめ,,表外読み
実,音,ジツ,,表内読み
松,訓,まつ,,表内読み
松,音,ショウ,,表内読み
起,訓,お,きる,表内読み
起,訓,お,こる,表内読み
起,訓,お,こす,表内読み
起,訓,た,つ,表外読み
起,音,キ,,表内読み
舗,訓,みせ,,表外読み
舗,訓,し,く,表外読み
舗,音,ホ,,表内読み
舗,音,フ,,表外読み
触,訓,ふ,れる,表内読み
触,訓,さわ,る,表内読み
触,音,ショク,,表内読み
触,音,ソク,,表外読み
鄄,音,ケン,,表内読み
㭷,訓,おおこ,,表内読み
笞,訓,むち,,表内読み
笞,訓,しもと,,表内読み
笞,訓,むちう,つ,表内読み
笞,音,チ,,表内読み
膘,訓,ほばら,,表内読み
膘,音,ヒョウ,,表内読み
倆,訓,うでまえ,,表内読み
倆,音,リョウ,,表内読み
榰,音,シ,,表内読み
猨,訓,さる,,表内読み
猨,訓,ましら,,表内読み
猨,音,エン,,表内読み
贅,訓,むだ,,表内読み
贅,訓,いぼ,,表内読み
贅,訓,こぶ,,表内読み
贅,音,ゼイ,,表内読み
贅,音,セイ,,表内読み
耑,音,タン,,表内読み
鮸,訓,にべ,,表内読み
鮸,音,ベン,,表内読み
鮸,音,メン,,表内読み
廩,訓,くら,,表内読み
廩,訓,ふち,,表内読み
廩,音,リン,,表内読み
鱵,訓,さより,,表内読み
鱵,音,シン,,表内読み
腕,訓,うで,,表内読み
腕,訓,かいな,,表外読み
腕,音,ワン,,表内読み
輶,訓,かる,い,表内読み
輶,音,ユウ,,表内読み
展,訓,の,べる,表外読み
展,訓,ひろ,げる,表外読み
展,訓,つら,ねる,表外読み
展,音,テン,,表内読み
躱,訓,かわ,す,表内読み
躱,訓,さ,ける,表内読み
躱,音,タ,,表内読み
鉖,音,トウ,,表内読み
夔,音,キ,,表内読み
炮,訓,あぶ,る,表内読み
炮,訓,や,く,表内読み
炮,音,ホウ,,表内読み
鱟,訓,かぶとがに,,表内読み
鱟,音,コウ,,表内読み
檣,訓,ほばしら,,表内読み
檣,音,ショウ,,表内読み
𨴐,音,シン,,表内読み
抜,訓,ぬ,く,表内読み
抜,訓,ぬ,ける,表内読み
抜,訓,ぬ,かす,表内読み
抜,訓,ぬ,かる,表内読み
抜,音,バツ,,表内読み
賣,訓,う,る,表内読み
賣,訓,う,れる,表内読み
賣,音,バイ,,表内読み
豊,訓,ゆた,か,表内読み
豊,訓,とよ,,表外読み
豊,音,ホウ,,表内読み
踐,訓,ふ,む,表内読み
踐,音,セン,,表内読み
皶,音,サ,,表内読み
皶,音,シャ,,表内読み
翆,訓,かわせみ,,表内読み
翆,訓,みどり,,表内読み
翆,音,スイ,,表内読み
餲,訓,す,える,表内読み
餲,音,アイ,,表内読み
餲,音,カツ,,表内読み
鹿,訓,しか,,表内読み
鹿,訓,か,,表内読み
鹿,音,ロク,,表外読み
耄,訓,おいぼ,れる,表内読み
耄,訓,としよ,り,表内読み
耄,訓,ほう,ける,表内読み
耄,音,モウ,,表内読み
耄,音,ボウ,,表内読み
挫,訓,くじ,く,表外読み
挫,訓,くじ,ける,表外読み
挫,音,ザ,,表内読み
殻,訓,から,,表内読み
殻,音,カク,,表内読み
擶,音,セン,,表内読み
蜜,音,ミツ,,表内読み
屓,訓,ひいき,,表内読み
屓,音,キ,,表内読み
媵,訓,おく,る,表内読み
媵,音,ヨウ,,表内読み
蚍,音,ヒ,,表内読み
艮,訓,うしとら,,表内読み
艮,音,コン,,表内読み
艮,音,ゴン,,表内読み
𩣆,訓,ばち,,表内読み
柿,訓,かき,,表内読み
柿,音,シ,,表外読み
蠏,訓,かに,,表内読み
蠏,音,カイ,,表内読み
葵,訓,あおい,,表内読み
葵,音,キ,,表内読み
晛,音,ケン,,表内読み
漫,訓,みだ,り,表外読み
漫,訓,みだ,りに,表外読み
漫,訓,そぞ,ろに,表外読み
漫,音,マン,,表内読み
漫,音,バン,,表外読み
蟵,音,チュウ,,表内読み
罟,訓,あみ,,表内読み
罟,訓,うおあみ,,表内読み
罟,音,コ,,表内読み
鱅,訓,このしろ,,表内読み
鱅,音,ヨウ,,表内読み
貴,訓,たっと,い,表内読み
貴,訓,とうと,い,表内読み
貴,訓,たっと,ぶ,表内読み
貴,訓,とうと,ぶ,表内読み
貴,訓,たか,い,表外読み
貴,音,キ,,表内読み
唆,訓,そそのか,す,表内読み
唆,音,サ,,表内読み
栐,音,エイ,,表内読み
馗,訓,みち,,表内読み
馗,音,キ,,表内読み
蕷,訓,やまのいも,,表内読み
蕷,音,ヨ,,表内読み
鎹,訓,かすがい,,表内読み
棯,音,ジン,,表内読み
棯,音,ニン,,表内読み
献,訓,たてまつ,る,表外読み
献,訓,ささ,げる,表外読み
献,訓,まつ,る,表外読み
献,音,ケン,,表内読み
献,音,コン,,表内読み
仟,訓,かしら,,表内読み
仟,音,セン,,表内読み
厲,訓,といし,,表内読み
厲,訓,と,ぐ,表内読み
厲,訓,はげ,しい,表内読み
厲,訓,はげ,む,表内読み
厲,音,レイ,,表内読み
厲,音,ライ,,表内読み
嗇,訓,やぶさ,か,表内読み
嗇,訓,お,しむ,表内読み
嗇,訓,とりい,れ,表内読み
嗇,音,ショク,,表内読み
鐫,訓,のみ,,表内読み
鐫,訓,ほ,る,表内読み
鐫,訓,え,る,表内読み
鐫,訓,うが,つ,表内読み
鐫,訓,しりぞ,ける,表内読み
鐫,音,セン,,表内読み
汧,音,ケン,,表内読み
苺,訓,いちご,,表内読み
苺,訓,こけ,,表内読み
苺,音,バイ,,表内読み
苺,音,マイ,,表内読み
蘆,訓,あし,,表内読み
蘆,訓,よし,,表内読み
蘆,音,ロ,,表内読み
雹,訓,ひょう,,表内読み
雹,音,ハク,,表内読み
㝬,音,ホ,,表内読み
㝬,音,フ,,表内読み
仮,訓,かり,,表内読み
仮,訓,か,す,表外読み
仮,音,カ,,表内読み
仮,音,ケ,,表内読み
瀘,音,ロ,,表内読み
嫺,訓,みやび,やか,表内読み
嫺,訓,なら,う,表内読み
嫺,音,カン,,表内読み
樕,音,ソク,,表内読み
樢,音,チョウ,,表内読み
榔,音,ロウ,,表内読み
彀,音,コウ,,表内読み
鸝,音,リ,,表内読み
譛,訓,そし,る,表内読み
譛,訓,そし,り,表内読み
譛,訓,うった,える,表内読み
譛,訓,いつわ,る,表内読み
譛,音,シン,,表内読み
譛,音,セン,,表内読み
傓,音,セン,,表内読み
鐓,訓,いしづき,,表内読み
鐓,訓,つち,,表内読み
鐓,音,タイ,,表内読み
蝮,訓,まむし,,表内読み
蝮,音,フク,,表内読み
總,訓,ふさ,,表内読み
總,訓,す,べる,表内読み
總,訓,すべ,て,表内読み
總,音,ソウ,,表内読み
礑,訓,そこ,,表内読み
礑,訓,はた,と,表内読み
礑,訓,はった,と,表内読み
礑,音,トウ,,表内読み
舐,訓,な,める,表内読み
舐,訓,ねぶ,る,表内読み
舐,音,シ,,表内読み
蠨,音,ショウ,,表内読み
女,訓,おんな,,表内読み
女,訓,め,,表内読み
女,訓,むすめ,,表外読み
女,訓,めあ,わせる,表外読み
女,訓,なんじ,,表外読み
女,音,ジョ,,表内読み
女,音,ニョ,,表内読み
女,音,ニョウ,,表内読み
彰,訓,あらわ,す,表外読み
彰,訓,あらわ,れる,表外読み
彰,訓,あき,らか,表外読み
彰,音,ショウ,,表内読み
稲,訓,いね,,表内読み
稲,訓,いな,,表内読み
稲,音,トウ,,表内読み
輳,訓,あつ,まる,表内読み
輳,音,ソウ,,表内読み
抹,訓,す,る,表外読み
抹,訓,け,す,表外読み
抹,訓,こな,,表外読み
抹,音,マツ,,表内読み
抹,音,バツ,,表外読み
螫,訓,さ,す,表内読み
螫,訓,どく,,表内読み
螫,音,セキ,,表内読み
蘚,訓,こけ,,表内読み
蘚,音,セン,,表内読み
汰,訓,よな,げる,表外読み
汰,訓,おご,る,表外読み
汰,音,タ,,表内読み
汰,音,タイ,,表外読み
莫,訓,な,い,表内読み
莫,訓,なか,れ,表内読み
莫,訓,く,れ,表内読み
莫,訓,さび,しい,表内読み
莫,音,バク,,表内読み
莫,音,マク,,表内読み
莫,音,ボ,,表内読み
莫,音,モ,,表内読み
磠,音,ロ,,表内読み
堆,訓,うずたか,い,表外読み
堆,音,タイ,,表内読み
堆,音,ツイ,,表外読み
壤,訓,つち,,表内読み
壤,音,ジョウ,,表内読み
塊,訓,かたまり,,表内読み
塊,訓,つちくれ,,表外読み
塊,音,カイ,,表内読み
誇,訓,ほこ,る,表内読み
誇,訓,ほこ,り,表外読み
誇,音,コ,,表内読み
攘,訓,はら,う,表内読み
攘,訓,ぬす,む,表内読み
攘,訓,ゆず,る,表内読み
攘,訓,みだ,れる,表内読み
攘,音,ジョウ,,表内読み
頊,音,キョク,,表内読み
頊,音,ギョク,,表内読み
苨,音,デイ,,表内読み
筆,訓,ふで,,表内読み
筆,音,ヒツ,,表内読み
瓷,訓,いしやき,,表内読み
瓷,訓,かめ,,表内読み
瓷,音,シ,,表内読み
瓷,音,ジ,,表内読み
閽,音,コン,,表内読み
呦,音,ユウ,,表内読み
𢭏,訓,つ,く,表内読み
𢭏,訓,う,つ,表内読み
𢭏,訓,たた,く,表内読み
𢭏,音,トウ,,表内読み
箇,音,カ,,表内読み
箇,音,コ,,表外読み
涛,訓,なみ,,表内読み
涛,音,トウ,,表内読み
蟒,訓,うわばみ,,表内読み
蟒,訓,おろち,,表内読み
蟒,音,ボウ,,表内読み
蟒,音,モウ,,表内読み
壴,音,シュ,,表内読み
壴,音,チュ,,表内読み
鼗,訓,ふりつづみ,,表内読み
鼗,音,トウ,,表内読み
館,訓,やかた,,表内読み
館,訓,たち,,表外読み
館,訓,たて,,表外読み
館,音,カン,,表内読み
蛾,訓,まゆげ,,表内読み
蛾,訓,あり,,表内読み
蛾,音,ガ,,表内読み
蛾,音,ギ,,表内読み
絚,音,コウ,,表内読み
霆,訓,いかずち,,表内読み
霆,訓,いなずま,,表内読み
霆,音,テイ,,表内読み
蝣,音,ユウ,,表内読み
驌,音,シュク,,表内読み
矚,訓,み,る,表内読み
矚,音,ショク,,表内読み
矚,音,ソク,,表内読み
鯎,訓,うぐい,,表内読み
化,訓,ば,ける,表内読み
化,訓,ば,かす,表内読み
化,訓,か,わる,表外読み
化,訓,か,える,表外読み
化,音,カ,,表内読み
化,音,ケ,,表内読み
探,訓,さが,す,表内読み
探,訓,さぐ,る,表内読み
探,音,タン,,表内読み
呿,音,キョ,,表内読み
呿,音,コ,,表内読み
貝,訓,かい,,表内読み
貝,音,バイ,,表外読み
昞,音,ヘイ,,表内読み
寳,訓,たから,,表内読み
寳,音,ホウ,,表内読み
簿,音,ボ,,表内読み
簿,音,ホ,,表外読み
廹,訓,せま,る,表内読み
廹,訓,せ,る,表内読み
廹,訓,せり,,表内読み
廹,訓,さこ,,表内読み
廹,音,ハク,,表内読み
樰,訓,たら,,表内読み
樰,訓,ゆき,,表内読み
苳,訓,ふき,,表内読み
苳,音,トウ,,表内読み
鯳,訓,すけとうだら,,表内読み
瀕,訓,みぎわ,,表内読み
瀕,訓,ほとり,,表内読み
瀕,訓,そ,う,表内読み
瀕,訓,せま,る,表内読み
瀕,音,ヒン,,表内読み
賄,訓,まかな,う,表内読み
賄,訓,まいな,う,表外読み
賄,訓,まいない,,表外読み
賄,音,ワイ,,表内読み
賄,音,カイ,,表外読み
廳,音,チョウ,,表内読み
廳,音,テイ,,表内読み
枦,訓,とがた,,表内読み
枦,訓,ますがた,,表内読み
枦,訓,はぜ,,表内読み
枦,音,ロ,,表内読み
鄭,訓,ねんご,ろ,表内読み
鄭,音,テイ,,表内読み
鄭,音,ジョウ,,表内読み
昺,音,ヘイ,,表内読み
芿,音,ジョウ,,表内読み
芿,音,ニョウ,,表内読み
禰,訓,みたまや,,表内読み
禰,訓,かたしろ,,表内読み
禰,音,ネ,,表内読み
禰,音,デイ,,表内読み
蜥,音,セキ,,表内読み
螾,訓,みみず,,表内読み
螾,音,イン,,表内読み
詡,訓,ほこ,る,表内読み
詡,音,ク,,表内読み
較,訓,くら,べる,表外読み
較,音,カク,,表内読み
較,音,コウ,,表外読み
荐,訓,しき,りに,表内読み
荐,訓,しばしば,,表内読み
荐,訓,あつ,まる,表内読み
荐,訓,かさ,ねる,表内読み
荐,音,セン,,表内読み
荐,音,ゼン,,表内読み
繚,訓,まと,う,表内読み
繚,訓,まつ,わる,表内読み
繚,訓,めぐ,る,表内読み
繚,訓,めぐ,らす,表内読み
繚,音,リョウ,,表内読み
儔,訓,ともがら,,表内読み
儔,音,チュウ,,表内読み
儔,音,ジュ,,表内読み
秇,訓,う,える,表内読み
秇,音,ゲイ,,表内読み
緖,訓,お,,表内読み
緖,訓,いとぐち,,表内読み
緖,音,ショ,,表内読み
緖,音,チョ,,表内読み
𥿻,訓,きぬ,,表内読み
巨,訓,おお,きい,表外読み
巨,訓,おお,い,表外読み
巨,音,キョ,,表内読み
巨,音,コ,,表外読み
透,訓,す,く,表内読み
透,訓,す,かす,表内読み
透,訓,す,ける,表内読み
透,訓,とお,る,表外読み
透,音,トウ,,表内読み
履,訓,は,く,表内読み
履,訓,くつ,,表外読み
履,訓,ふ,む,表外読み
履,音,リ,,表内読み
屮,訓,め,,表内読み
屮,訓,めば,える,表内読み
屮,音,テツ,,表内読み
屮,音,ソウ,,表内読み
峋,音,シュン,,表内読み
旨,訓,むね,,表内読み
旨,訓,うま,い,表外読み
旨,音,シ,,表内読み
鬮,訓,たたかいと,る,表内読み
鬮,訓,くじ,,表内読み
鬮,音,キュウ,,表内読み
粳,訓,うるち,,表内読み
粳,訓,ぬか,,表内読み
粳,音,コウ,,表内読み
逼,訓,せま,る,表内読み
逼,音,ヒツ,,表内読み
逼,音,ヒョク,,表内読み
遑,訓,あわ,てる,表内読み
遑,訓,あわただ,しい,表内読み
遑,訓,いとま,,表内読み
遑,訓,ひま,,表内読み
遑,音,コウ,,表内読み
纃,訓,かすり,,表内読み
梠,訓,ひさし,,表内読み
梠,訓,のき,,表内読み
梠,音,リョ,,表内読み
梠,音,ロ,,表内読み
寖,訓,ひた,す,表内読み
寖,訓,ひた,る,表内読み
寖,訓,し,みる,表内読み
寖,音,シン,,表内読み
霰,訓,あられ,,表内読み
霰,音,サン,,表内読み
霰,音,セン,,表内読み
沘,音,ヒ,,表内読み
溌,訓,そそ,ぐ,表内読み
溌,訓,は,ねる,表内読み
溌,音,ハツ,,表内読み
疂,訓,たたみ,,表内読み
疂,訓,たた,む,表内読み
疂,訓,かさ,ねる,表内読み
疂,訓,かさ,なる,表内読み
疂,音,ジョウ,,表内読み
疂,音,チョウ,,表内読み
拭,訓,ふ,く,表内読み
拭,訓,ぬぐ,う,表内読み
拭,音,ショク,,表内読み
拭,音,シキ,,表外読み
找,訓,さおさ,す,表内読み
找,訓,たず,ねる,表内読み
找,音,カ,,表内読み
找,音,ソウ,,表内読み
嗩,音,サ,,表内読み
咄,訓,しか,る,表内読み
咄,訓,したう,ち,表内読み
咄,訓,はなし,,表内読み
咄,音,トツ,,表内読み
儋,訓,にな,う,表内読み
儋,音,タン,,表内読み
餼,訓,おく,る,表内読み
餼,音,キ,,表内読み
餼,音,ケ,,表内読み
跽,訓,ひざまず,く,表内読み
跽,音,キ,,表内読み
跽,音,ギ,,表内読み
甚,訓,はなは,だ,表内読み
甚,訓,はなは,だしい,表内読み
甚,音,ジン,,表内読み
編,訓,あ,む,表内読み
編,訓,とじいと,,表外読み
編,訓,ふみ,,表外読み
編,音,ヘン,,表内読み
垉,音,ホウ,,表内読み
呬,音,キ,,表内読み
僂,訓,かが,める,表内読み
僂,訓,ま,げる,表内読み
僂,音,ロウ,,表内読み
僂,音,ル,,表内読み
椁,訓,ひつぎ,,表内読み
椁,訓,うわひつぎ,,表内読み
椁,音,カク,,表内読み
㯃,訓,うるし,,表内読み
㯃,音,シツ,,表内読み
墅,訓,なや,,表内読み
墅,訓,しもやしき,,表内読み
墅,音,ショ,,表内読み
墅,音,ヤ,,表内読み
念,訓,おも,う,表外読み
念,音,ネン,,表内読み
櫃,訓,ひつ,,表内読み
櫃,訓,はこ,,表内読み
櫃,音,キ,,表内読み
是,訓,これ,,表外読み
是,訓,こ,の,表外読み
是,訓,ここ,,表外読み
是,訓,ただ,しい,表外読み
是,音,ゼ,,表内読み
是,音,シ,,表外読み
茜,訓,あかね,,表内読み
茜,音,セン,,表内読み
懣,訓,もだ,える,表内読み
懣,音,マン,,表内読み
懣,音,モン,,表内読み
糸,訓,いと,,表内読み
糸,音,シ,,表内読み
卯,訓,う,,表内読み
卯,音,ボウ,,表内読み
諗,訓,つ,げる,表内読み
諗,音,シン,,表内読み
莅,訓,のぞ,む,表内読み
莅,音,リ,,表内読み
廙,音,ヨク,,表内読み
屑,訓,くず,,表内読み
屑,訓,いさぎよ,い,表内読み
屑,音,セツ,,表内読み
幀,音,テイ,,表内読み
幀,音,チョウ,,表内読み
懋,訓,つと,める,表内読み
懋,訓,さか,ん,表内読み
懋,音,ボウ,,表内読み
懋,音,モ,,表内読み
斎,訓,ものいみ,,表外読み
斎,訓,つつし,む,表外読み
斎,訓,とき,,表外読み
斎,訓,いつき,,表外読み
斎,訓,いつ,く,表外読み
斎,音,サイ,,表内読み
犮,音,ハツ,,表内読み
蓚,音,チョウ,,表内読み
蓚,音,シュウ,,表内読み
驀,訓,の,る,表内読み
驀,訓,のりこ,える,表内読み
驀,訓,たちま,ち,表内読み
驀,訓,まっしぐら,,表内読み
驀,音,バク,,表内読み
遉,訓,うかが,う,表内読み
遉,訓,さぐ,る,表内読み
遉,訓,さすが,,表内読み
遉,訓,さすが,に,表内読み
遉,音,テイ,,表内読み
謭,音,セン,,表内読み
𦣝,音,イ,,表内読み
垜,訓,あずち,,表内読み
垜,音,タ,,表内読み
垜,音,ダ,,表内読み
伏,訓,ふ,せる,表内読み
伏,訓,ふ,す,表内読み
伏,訓,かく,れる,表外読み
