漢字,関連項目
房,参
房,張
房,危
房,鬼
房,虚
房,井
房,斗
房,尾
房,壁
房,翼
房,柳
房,奎
房,昴
房,畢
房,箕
房,婁
房,亢
房,觜
房,軫
房,氐
西,東
西,南
西,北
饆,饠
蚓,蚯
萏,菡
酢,献
酢,酢
酢,酬
北,西
北,東
北,南
鹹,苦
鹹,酸
鹹,甘
鹹,辛
狳,犰
佺,偓
竡,竍
竡,竏
竡,竕
竡,竓
竡,竡
竡,竰
水,火
水,金
水,土
水,木
母,父
藤,平
藤,源
藤,橘
鬼,女
鬼,角
鬼,牛
鬼,室
鬼,心
鬼,星
鬼,胃
鬼,参
鬼,張
鬼,危
鬼,虚
鬼,井
鬼,斗
鬼,尾
鬼,壁
鬼,房
鬼,翼
鬼,柳
鬼,奎
鬼,昴
鬼,畢
鬼,箕
鬼,婁
鬼,亢
鬼,觜
鬼,軫
鬼,氐
犰,狳
金,火
金,水
金,土
金,木
心,女
心,角
心,牛
心,室
心,心
心,星
心,胃
心,参
心,張
心,危
心,肺
心,肝
心,鬼
心,虚
心,腎
心,井
心,斗
心,尾
心,壁
心,房
心,翼
心,柳
心,奎
心,昴
心,畢
心,箕
心,婁
心,亢
心,脾
心,觜
心,軫
心,氐
鋧,銑
牡,牝
姒,娣
京,一
京,十
京,正
京,千
京,百
京,万
京,億
京,極
京,兆
京,溝
京,載
京,穣
京,澗
京,垓
京,秭
髒,骯
菀,茈
鷧,鷀
鷧,鸕
蝠,蝙
𩙿,食
𩙿,飠
寅,子
寅,午
寅,申
寅,未
寅,丑
寅,亥
寅,卯
寅,寅
寅,巳
寅,辰
寅,酉
寅,戌
垓,一
垓,十
垓,正
垓,千
垓,百
垓,京
垓,万
垓,億
垓,極
垓,兆
垓,溝
垓,載
垓,穣
垓,澗
垓,秭
怙,恃
宇,宙
妹,兄
妹,姉
妹,弟
坰,冋
蜻,蛉
竰,竍
竰,竏
竰,竕
竰,竓
竰,竡
竰,竰
鰶,鮗
敔,柷
二,一
二,九
二,三
二,四
二,七
二,十
二,二
二,八
二,六
二,五
凸,凹
角,女
角,羽
角,牛
角,室
角,心
角,星
角,宮
角,商
角,胃
角,参
角,張
角,危
角,鬼
角,虚
角,井
角,徴
角,斗
角,尾
角,壁
角,房
角,翼
角,柳
角,奎
角,昴
角,畢
角,箕
角,婁
角,亢
角,觜
角,軫
角,氐
傈,僳
鵷,凰
鵷,鳳
詛,盟
茈,菀
姨,姑
邶,衞
邶,鄘
米,米
米,粁
米,糎
米,粍
葶,藶
胦,脖
靉,靆
