漢字,名乗り訓
荷,もち
華,は
華,はな
華,はる
貨,たか
霞,かすみ
蚊,か
牙,かび
芽,め
芽,めい
賀,いわう
賀,しげ
賀,のり
賀,ます
賀,よし
賀,より
雅,ただ
雅,ただし
雅,つね
雅,なり
雅,のり
雅,ひとし
雅,まさ
雅,まさし
雅,まさり
雅,まさる
雅,みやび
雅,もと
駕,のり
介,あき
介,かたし
介,すけ
介,たすく
介,ゆき
介,よし
会,あい
会,あう
会,かず
会,さだ
会,はる
会,もち
解,さとる
解,とき
解,ひろ
壊,つち
廻,のり
快,はや
快,やす
快,よし
怪,やす
怪,よし
恢,ひろ
懐,かぬ
懐,かね
懐,きたす
懐,たか
懐,ちか
懐,つね
懐,もち
懐,やす
改,あら
魁,いさお
魁,いさむ
魁,つとむ
魁,はじめ
海,あま
海,うな
海,うみ
海,み
灰,はい
界,さかい
皆,とも
皆,み
皆,みち
皆,みな
開,さく
開,はる
開,はるき
開,ひら
開,ひらかす
開,ひらき
開,ひらく
階,とも
階,はし
階,より
貝,かい
凱,たのし
凱,とき
凱,よし
外,そと
外,と
外,との
外,ひろ
外,ほか
概,むね
該,かた
該,かぬ
該,かね
該,もり
馨,か
馨,かおり
馨,かおる
馨,きよ
馨,よし
垣,かき
垣,たか
垣,はん
柿,かき
各,まさ
拡,ひろ
拡,ひろし
拡,ひろむ
格,いたる
格,きわめ
格,ただ
格,ただし
格,ただす
格,つとむ
格,のり
格,まさ
確,あきら
確,かた
確,かたし
確,たしか
穫,え
穫,みのる
覚,あき
覚,あきら
覚,さだ
覚,さと
覚,さとし
覚,さとる
覚,ただ
覚,ただし
覚,よし
角,かど
角,すみ
角,つぬ
角,つの
角,ふさ
角,み
較,あつ
較,とお
較,なお
郭,ひろ
閣,はる
学,あきら
学,さと
学,さとる
学,さね
学,たか
学,のり
学,ひさ
学,まなぶ
学,みち
岳,おか
岳,たか
岳,たかし
楽,ささ
楽,たのし
楽,もと
楽,よし
額,ぬか
梶,かじ
梶,こずえ
潟,かた
割,さき
活,いく
葛,かず
葛,かつら
葛,かど
葛,くず
葛,さち
葛,つら
葛,ふじ
且,かつ
叶,かない
叶,かのう
叶,やす
樺,かば
株,もと
株,より
鎌,かた
鎌,かね
鎌,かま
鴨,かも
鴨,まさ
茅,かや
茅,ち
萱,かや
萱,ただ
萱,まさ
乾,きみ
乾,すすむ
乾,たけし
乾,つとむ
乾,ふ
侃,あきら
侃,すなお
侃,ただ
侃,ただし
侃,つよし
侃,なお
侃,やす
寒,さむ
寒,ふゆ
勘,さだ
勘,さだむ
勘,のり
勧,すすむ
勧,ゆき
巻,まき
巻,まる
堪,たえ
堪,ひで
完,さだ
完,たもつ
完,なる
完,ひろ
完,ひろし
完,まさ
完,また
完,またし
完,みつ
完,ゆたか
官,おさ
官,きみ
官,これ
官,たか
官,のり
官,ひろ
寛,ちか
寛,とお
寛,とも
寛,のぶ
寛,のり
寛,ひと
寛,ひろ
寛,ひろし
寛,ゆたか
寛,よし
干,たく
干,たて
干,ほす
干,もと
幹,えだ
幹,から
幹,き
幹,くる
幹,たかし
幹,たる
幹,つね
幹,つよし
幹,とし
幹,とも
幹,まさ
幹,み
幹,みき
幹,もと
幹,もとき
幹,よし
幹,よみ
幹,より
慣,みな
換,やす
敢,いさむ
敢,いさみ
款,すけ
款,ただ
款,まさ
款,ゆく
款,よし
歓,よし
漢,あや
漢,かみ
漢,くに
漢,なら
環,たま
環,たまき
環,わ
甘,かい
甘,よし
監,あき
監,あきら
監,かね
監,ただ
監,てる
監,み
看,あきら
看,み
看,みつ
看,みる
管,うち
管,すげ
簡,あきら
簡,ひろ
簡,ふみ
簡,やすし
緩,のぶ
緩,ひろ
緩,ふさ
緩,やす
缶,べ
観,あき
観,しめす
観,まろ
観,み
観,みる
貫,つら
貫,とおる
貫,ぬき
鑑,あき
鑑,あきら
鑑,かた
鑑,かね
鑑,しげ
鑑,のり
鑑,み
鑑,みる
間,ちか
間,はし
間,ま
閑,しず
閑,のり
閑,もり
閑,やす
閑,より
関,せき
関,とおる
関,み
関,もり
館,たて
丸,まる
丸,まろ
含,もち
岸,きし
巌,いわ
巌,いわお
巌,お
巌,みち
巌,みね
巌,よし
玩,よし
眼,め
岩,いわ
岩,いわお
