漢字,異体字
腰,𦝫
甑,䰝
忽,𢗘
坤,堃
婚,㛰
恨,𢙃
懇,恳
昏,昬
梱,棞
艮,𥃩
魂,䰟
嵯,嵳
鎖,鏁
鎖,鎻
坐,㘴
債,债
最,冣
最,㝡
歳,歲
歳,嵗
歳,亗
歳,岁
済,濟
災,灾
災,烖
犀,𡱝
砕,碎
斎,齋
斎,斋
斎,夈
剤,劑
剤,剂
在,扗
罪,辠
財,戝
坂,岅
肴,餚
崎,嵜
崎,㟢
崎,﨑
碕,𥔎
柵,栅
策,萗
桜,櫻
桜,樱
冊,册
冊,𠕁
殺,殺
薩,蕯
雑,雜
雑,襍
雑,杂
皐,皋
皐,臯
晒,曬
三,弎
傘,仐
傘,𠍘
傘,伞
参,參
参,叅
参,叄
参,叁
惨,慘
散,𢿨
桟,棧
桟,栈
産,產
産,产
算,筭
蚕,蠶
蚕,蝅
蚕,蠺
讃,讚
賛,贊
餐,湌
斬,斩
暫,暂
残,殘
使,𠉕
刺,刾
刺,㓨
史,㕜
嗣,孠
四,亖
始,乨
始,兘
姉,姊
師,师
思,恖
指,𢫾
旨,㫖
旨,𠤔
祉,祉
糸,絲
糸,丝
紙,帋
視,視
視,眎
雌,䳄
飼,飼
歯,齒
事,亊
事,㕝
事,叓
似,佀
児,兒
児,𠒆
時,旹
時,时
滋,𦱳
爾,尓
爾,尒
爾,尔
璽,壐
璽,玺
磁,𥔵
磁,礠
辞,辭
辞,辤
辞,辝
叱,𠮟
執,执
嫉,㑵
悉,怸
湿,濕
湿,溼
漆,柒
質,貭
実,實
実,实
篠,筱
篠,筿
屡,屢
蕊,蘂
蕊,蕋
舎,舍
写,冩
写,寫
煮,煮
煮,煑
社,社
者,者
蛇,虵
蛇,𧉮
借,徣
杓,𣏐
爵,𩰦
釈,釋
弱,𢐅
守,垨
呪,咒
寿,壽
寿,夀
寿,𦓆
樹,树
収,收
周,周
修,俢
秋,穐
秋,龝
秋,秌
繍,繡
繍,綉
習,习
臭,臭
衆,眾
衆,众
讐,讎
蹴,蹵
酬,酧
酬,醻
集,𠍱
集,雧
従,從
従,从
戎,𢦦
渋,澁
渋,澀
獣,獸
獣,兽
縦,縱
叔,𠦑
宿,㝛
祝,祝
粛,肅
出,岀
春,萅
春,旾
舜,䑞
淳,湻
準,凖
巡,廵
醇,醕
醇,䣩
処,處
処,䖏
処,处
暑,暑
曙,暏
渚,渚
庶,庻
緒,緖
署,署
書,书
諸,諸
叙,敍
叙,敘
傷,伤
償,偿
匠,匞
嘗,甞
嘗,𠹉
嘗,尝
奨,奬
奨,獎
奨,㢡
奨,奖
将,將
尚,尙
廠,厰
昇,曻
晶,𣇵
松,枩
松,柗
松,梥
松,㮤
松,枀
渉,涉
焼,燒
焦,𤓪
祥,祥
称,稱
蒋,蔣
衝,𧘂
証,證
醤,醬
上,丄
丈,𠀋
乗,乘
乗,椉
冗,宂
剰,剩
場,塲
場,场
壌,壤
嬢,孃
擾,𢺕
条,條
浄,淨
状,狀
畳,疊
畳,疉
畳,疂
畳,㬪
畳,曡
畳,叠
穣,穰
譲,讓
醸,釀
嘱,囑
植,㯰
織,𦀗
職,聀
職,軄
触,觸
食,𩚀
尻,㞍
寝,寢
寝,寑
寝,𡫒
審,宷
審,审
慎,愼
慎,眘
晋,晉
晋,㬜
榛,樼
浸,寖
浸,濅
浸,𣹦
深,㴱
疹,𤺋
真,眞
神,神
親,亲
親,媇
辛,𨐌
仁,忈
仁,忎
刃,刄
塵,尘
尋,寻
尽,盡
尽,𥁞
靭,靱
図,圖
図,圗
厨,廚
厨,㕑
垂,埀
粋,粹
翠,翆
酔,醉
随,隨
随,遀
髄,膸
髄,髓
崇,崈
数,數
数,𢿙
枢,樞
雛,鶵
杉,檆
澄,澂
澄,瀓
世,丗
世,卋
瀬,瀨
畝,畆
畝,畒
畝,㽗
畝,畞
畝,畮
畝,亩
是,昰
勢,㔟
勢,势
征,徰
征,𨒌
整,𢿫
整,愸
星,皨
星,曐
晴,晴
棲,捿
清,淸
精,精
聖,垩
声,聲
西,卥
青,靑
青,寈
静,靜
斉,齊
斉,亝
斉,斊
税,稅
脆,脃
斥,㡿
接,擑
摂,攝
摂,摄
折,㪿
窃,竊
節,節
説,說
雪,䨮
絶,絕
蝉,蟬
専,專
専,专
川,巛
戦,戰
戦,战
泉,洤
浅,淺
潜,潛
潜,濳
線,綫
繊,纖
繊,纎
船,舩
薦,侟
賎,賤
践,踐
遷,迁
銭,錢
前,歬
前,偂
善,譱
全,㒰
禅,禪
膳,饍
塑,塐
曾,曽
曽,曾
楚,椘
楚,䠂
疏,䟽
疎,踈
祖,祖
蘇,蘓
鼠,鼡
僧,僧
創,戧
創,𠟐
創,创
創,戗
双,雙
叢,藂
叢,樷
叢,丛
倉,仑
倉,仺
喪,䘮
喪,𠷔
喪,丧
壮,壯
層,層
層,层
匝,帀
捜,搜
捜,𢯱
捜,摉
掃,扫
挿,插
挿,揷
掻,搔
曹,曺
曹,𣍘
巣,巢
槍,枪
漕,𤅍
争,爭
痩,瘦
相,𥄢
窓,窗
窓,窻
窓,牕
窓,䆫
総,總
総,摠
総,揔
総,緫
総,总
総,捴
総,搃
聡,聰
聡,聦
荘,莊
荘,㽵
葬,塟
装,裝
走,赱
走,𧺆
騒,騷
増,增
憎,憎
臓,臟
蔵,藏
贈,贈
側,侧
則,𠟭
則,则
即,卽
属,屬
続,續
卒,卆
卒,䘚
其,亓
孫,孙
損,损
村,邨
遜,愻
遜,逊
多,夛
堕,墮
堕,𡐦
堕,墯
惰,憜
舵,䑨
楕,橢
楕,椭
楕,㰐
楕,㯐
駄,馱
騨,驒
体,躰
体,軆
体,體
堆,垖
対,對
対,对
帯,帶
帯,带
態,态
替,㬱
泰,𣳾
泰,㤗
泰,冭
滞,滯
胎,孡
苔,菭
黛,黱
台,臺
台,䑓
台,坮
大,亣
滝,瀧
瀧,滝
宅,㡯
択,擇
択,择
沢,澤
沢,峄
琢,琢
鐸,鈬
濁,浊
達,逹
奪,夺
脱,脫
巽,巽
巽,巺
竪,豎
狸,貍
単,單
単,𠦤
単,单
嘆,嘆
担,擔
箪,簞
耽,躭
胆,膽
団,團
壇,坛
弾,彈
弾,弹
断,斷
断,𣃔
男,侽
値,值
弛,㢮
恥,耻
痴,癡
稚,穉
稚,稺
致,𦤶
遅,遲
遅,遟
筑,𥬑
抽,𢭆
抽,㩅
昼,晝
虫,蟲
虫,䖝
鋳,鑄
瀦,潴
猪,猪
猪,豬
著,著
寵,宠
庁,廳
庁,廰
庁,厅
張,张
彫,彫
徴,徵
懲,懲
潮,𣶃
町,甼
聴,聽
腸,膓
長,镸
長,仧
長,兏
勅,敕
朕,𦨶
沈,沉
珍,珎
鎮,鎭
津,𣸁
墜,坠
槌,桘
塚,塚
掴,摑
壷,壺
壷,壶
壷,壸
亭,𠅘
低,仾
偵,侦
堤,埞
抵,拞
碇,矴
禎,禎
諦,𧫚
蹄,蹏
逓,遞
鼎,𣇄
鼎,鼑
泥,埿
的,旳
哲,喆
哲,嚞
哲,啠
哲,悊
徹,彻
鉄,銕
鉄,鐵
鉄,鐡
填,塡
