漢字,解説・構成
怨,2010年11月30日に常用漢字に追加されました。
掩,てへんに奄
沿,さんずいに㕣
演,さんずいに寅
炎,火（ひ）に火
炎,「焰」の書きかえとして用いられる字。
煙,火（ひへん）に覀に土
猿,けものへんに袁
艶,色（いろ）に豊
艶,「エン」は高校で習う読み方です。
艶,2010年11月30日に常用漢字に追加されました。
苑,くさかんむりに夗
苑,くさかんむりに夕に㔾
薗,くさかんむりに園
遠,しんにょう・しんにゅうに袁
鉛,かねへんに㕣
鴛,鳥（とり）に夗
鴛,鳥（とり）に夕に㔾
於,方（ほうへん・かたへん）に仒
汚,さんずいに亐
汚,「けがす」「けがれる」「けがらわしい」は高校で習う読み方です。
甥,生（うまれる・いきる）に男
奥,「オウ」は高校で習う読み方です。
往,ぎょうにんべんに主
応,心（こころ）に广
押,てへんに甲
押,「オウ」は高校で習う読み方です。
旺,ひへん・にちへんに王
旺,2010年11月30日に常用漢字に追加されました。
横,きへんに黄
欧,欠（かける・あくび・けんづくり）に区
殴,るまた・ほこづくりに区
殴,「オウ」は高校で習う読み方です。
翁,羽（はね）に公
襖,ころもへんに奧
鴎,鳥（とり）に区
黄,「コウ」「こ」は中学校で習う読み方です。
沖,さんずいに中
沖,「チュウ」は高校で習う読み方です。
沖,2020年に教育漢字に追加されました。（中学校で習う漢字→四年生で習う漢字）
荻,くさかんむりに狄
億,にんべんに意
屋,しかばね・かばね・しかばねかんむり・かばねだれに至
憶,りっしんべんに意
臆,にくづきに意
臆,2010年11月30日に常用漢字に追加されました。
桶,木（きへん）に甬
牡,牛（うしへん）に土
俺,にんべんに奄
俺,2010年11月30日に常用漢字に追加されました。
恩,心（こころ）に因
恩,2020年に習う学年が変更されました。（五年生で習う漢字→六年生で習う漢字）
温,さんずいに昷
穏,禾（のぎへん）に𢚩
音,立に日
音,「イン」は中学校で習う読み方です。
下,「もと」は中学校で習う読み方です。
化,ひ・さじ・さじのひに亻
化,亻に匕
仮,にんべんに反
仮,「ケ」は中学校で習う読み方です。
何,にんべんに可
何,「カ」は中学校で習う読み方です。
伽,にんべんに加
価,「あたい」は高校で習う読み方です。
佳,にんべんに圭
加,力（ちから）に口
嘉,壴に加
夏,「ゲ」は中学校で習う読み方です。
嫁,おんなへんに家
嫁,「カ」は高校で習う読み方です。
家,うかんむりに豕
科,禾（のぎへん）に斗
暇,ひへん・にちへんに叚
架,木（き）に加
歌,欠（かける・あくび・けんづくり）に哥
河,さんずいに可
火,「ほ」は高校で習う読み方です。
珂,王（おうへん・たまへん）に可
禍,しめすへんに咼
稼,禾（のぎへん）に家
稼,「カ」は高校で習う読み方です。
箇,たけかんむりに固
花,くさかんむりに化
花,くさかんむりにに亻に匕
苛,くさかんむりに可
苛,2010年11月30日に常用漢字に追加されました。
荷,くさかんむりに何
荷,「カ」は中学校で習う読み方です。
荷,「荷」は書き順を間違えやすい漢字の一つです。→「荷」の書き順（筆順）
