漢字,解説・構成
咲,くちへんに关
崎,やまへんに奇
崎,1981年に常用漢字に追加されました。
埼,つちへん・どへんに奇
埼,2010年11月30日に常用漢字に追加されました。
碕,石（いしへん）に奇
鷺,鳥（とり）に路
作,にんべんに乍
削,りっとうに肖
咋,口（くちへん）に咋
搾,てへんに窄
搾,「サク」は高校で習う読み方です。
昨,ひへん・にちへんに乍
朔,月（つき）に屰
柵,きへんに冊
柵,2010年11月30日に常用漢字に追加されました。
窄,あなかんむりに乍
策,たけかんむりに朿
錯,かねへんに昔
桜,「オウ」は高校で習う読み方です。
桜,木（きへん）に⺍に女
桜,1989年に教育漢字に追加されました。（中学校で習う漢字→五年生で習う漢字）
鮭,魚（うおへん・さかなへん）に圭
笹,たけかんむりに世
匙,匕（ひ・さじ・さじのひ）に是
冊,「サク」は高校で習う読み方です。
冊,「冊」は書き順を間違えやすい漢字の一つです。→「冊」の書き順（筆順）
刷,りっとうに𡰯
察,うかんむりに祭
拶,てへんに𡿪
拶,2010年11月30日に常用漢字に追加されました。
撮,てへんに最
擦,てへんに察
札,きへんに乚
札,1989年に教育漢字に追加されました。（中学校で習う漢字→四年生で習う漢字）
殺,殳（るまた・ほこづくり）に杀
殺,「サイ」「セツ」は高校で習う読み方です。
殺,2020年に習う学年が変更されました。（四年生で習う漢字→五年生で習う漢字）
薩,くさかんむりに阝に產
鯖,魚（うおへん・さかなへん）に靑
捌,てへんに別
捌,証書・契約書などで改ざんや誤りを防ぐために、「八」の代わりとして用いる場合があります。
錆,金（かねへん）に靑
鮫,魚（うおへん・さかなへん）に交
晒,日（ひへん・にちへん）に西
傘,ひとやね・ひとがしらに𠈌に十
傘,「サン」は高校で習う読み方です。
惨,りっしんべんに参
惨,「ザン」「みじめ」は高校で習う読み方です。
撒,てへんに散
桟,きへんに㦮
燦,火（ひへん）に粲
珊,王（おうへん・たまへん）に冊
産,产に生
産,「うぶ」は高校で習う読み方です。
算,たけかんむりに具
蚕,虫（むし）に天
蚕,意味欄の[]内の漢字は、その漢字に由来する意味です。
讃,言（ごんべん）に賛
讃,「賛」が書きかえとして用いられる字。
賛,貝（かい・こがい）に㚘
酸,酉（とりへん）に夋
餐,食（しょく）に𣦼
餐,食（しょく）に歺に又
斬,おのづくりに車
斬,2010年11月30日に常用漢字に追加されました。
暫,日（ひ・にち）に斬
残,かばねへん・いちたへん・がつへんに㦮
残,「残」は書き順を間違えやすい漢字の一つです。→「残」の書き順（筆順）
仕,にんべんに士
仕,「ジ」は高校で習う読み方です。
仔,にんべんに子
伺,にんべんに司
伺,「シ」は高校で習う読み方です。
使,にんべんに吏
刺,りっとうに朿
嗣,口（くち）に冊に司
四,囗（くにがまえ）に儿
四,証書・契約書などで改ざんや誤りを防ぐために、「肆」を用いる場合があります。
始,おんなへんに台
始,おんなへんに厶に口
姉,おんなへんに市
姉,「シ」は中学校で習う読み方です。
姉,1989年に習う学年が変更されました。（四年生で習う漢字→二年生で習う漢字）
姿,女（おんな）に次
屍,尸（しかばね・かばね・しかばねかんむり・かばねだれ）に死
市,※市の成り立ちには諸説あり、意符・音符が上記と異なる構成の説もあります。
師,𠂤に帀
志,心（こころ）に士
思,心（こころ）に田
指,てへんに旨
孜,攵（のぶん・ぼくづくり）に子
孜,※当サイトの部首では、「攴部」に分類していますが、「子（こへん・こどもへん）」に分類される場合もあります。
斯,斤（おのづくり）に其
施,ほうへん・かたへんに㐌
施,「セ」は高校で習う読み方です。
旨,日（ひ・にち）に匕
旨,「むね」は高校で習う読み方です。
枝,きへんに支
枝,「シ」は高校で習う読み方です。
枝,1989年に教育漢字に追加されました。（中学校で習う漢字→五年生で習う漢字）
死,かばねへん・いちたへん・がつへんに匕
氏,「うじ」は中学校で習う読み方です。
氏,※氏は「さじ」をかたどったという説もあります。
獅,けものへんに師
祉,しめすへんに止
私,禾（のぎへん）に厶
紙,糸（いとへん）に氏
紫,糸（いと）に此
肢,にくづきに支
脂,にくづきに旨
至,𠫔に土
視,見（みる）に礻
詞,言（ごんべん）に司
詩,言（ごんべん）に寺
試,言（ごんべん）に式
試,「ためす」は中学校で習う読み方です。
試,「試」は書き順を間違えやすい漢字の一つです。→「試」の書き順（筆順）
誌,言（ごんべん）に志
諮,言（ごんべん）に咨
資,貝（かい・こがい）に次
賜,かいへんに易
賜,かいへんに日に勿
雌,隹（ふるとり）に此
飼,しょくへんに司
飼,1989年に教育漢字に追加されました。（中学校で習う漢字→五年生で習う漢字）
事,「ズ」は高校で習う読み方です。
似,にんべんに以
似,「ジ」は中学校で習う読み方です。
侍,にんべんに寺
児,儿（ひとあし・にんにょう）に旧
児,「ニ」は中学校で習う読み方です。
児,1989年に習う学年が変更されました。（五年生で習う漢字→四年生で習う漢字）
字,子（こ）に宀
寺,寸（すん）に土
慈,心（こころ）に兹
慈,「いつくしむ」は高校で習う読み方です。
持,てへんに寺
時,ひへん・にちへんに寺
次,欠（かける・あくび・けんづくり）に冫
次,「シ」は中学校で習う読み方です。
滋,さんずいに兹
滋,「ジ」は中学校で習う読み方です。
滋,2020年に教育漢字に追加されました。（中学校で習う漢字→四年生で習う漢字）
治,さんずいに台
治,さんずいに厶に口
璽,玉（たま）に爾
痔,やまいだれに寺
磁,いしへんに兹
示,「シ」は中学校で習う読み方です。
耳,「ジ」は中学校で習う読み方です。
耳,「耳」は書き順を間違えやすい漢字の一つです。→「耳」の書き順（筆順）
蒔,くさかんむりに時
辞,辛（からい）に舌
辞,「やめる」は中学校で習う読み方です。
汐,さんずいに夕
式,弋（よく・しきがまえ）に工
式,「式」は書き順を間違えやすい漢字の一つです。→「式」の書き順（筆順）
識,言（ごんべん）に戠
識,「識」は書き順を間違えやすい漢字の一つです。→「識」の書き順（筆順）
鴫,鳥（とり）に田
竺,竹（たけかんむり）に二
軸,くるまへんに由
宍,うかんむりに六
雫,雨（あめかんむり）に下
叱,くちへんに𠤎
叱,常用漢字表の解説には「𠮟」と「叱」は本来別字とされるが、その使用実態から見て、異体の関係にある同字と認めることができる。とあります。
執,幸に丸
嫉,おんなへんに疾
嫉,2010年11月30日に常用漢字に追加されました。
室,うかんむりに至
室,「むろ」は中学校で習う読み方です。
悉,心（こころ）に釆
湿,さんずいに显
漆,さんずいに桼
漆,証書・契約書などで改ざんや誤りを防ぐために、「七」の代わりとして用いる場合があります。
疾,やまいだれに矢
質,貝（かい・こがい）に斦
質,「シチ」は中学校で習う読み方、「チ」は高校で習う読み方です。
蔀,くさかんむりに部
篠,たけかんむりに條
偲,にんべんに思
柴,木（き）に此
芝,くさかんむりに之
屡,尸（しかばね・かばね・しかばねかんむり・かばねだれ）に娄
蕊,くさかんむりに惢
縞,糸（いとへん）に高
写,わかんむりに与
射,すん・すんづくりに身
捨,てへんに舎
赦,赤（あか・あかへん）に攵
斜,斗（とます・と）に余
煮,れっか・れんがに者
煮,「シャ」は高校で習う読み方です。
社,しめすへんに土
紗,糸（いとへん）に少
者,おいかんむり・おいがしらに日
謝,言（ごんべん）に射
謝,「あやまる」は中学校で習う読み方です。
遮,しんにょう・しんにゅうに庶
蛇,むしへんに它
邪,おおざとに牙
借,にんべんに昔
借,にんべんに龷に日
勺,勹（つつみがまえ・くがまえ）に丶
勺,2010年11月30日に常用漢字から削除され、人名用漢字に追加されました。
灼,火（ひへん）に勺
酌,部首に勺
酌,「くむ」は高校で習う読み方です。
釈,のごめへんに尺
釈,1989年に教育漢字から削除（六年生で習う漢字→中学校で習う漢字）
錫,金（かねへん）に易
錫,金（かねへん）に日に勿
若,くさかんむりに右
若,「ジャク」は中学校で習う読み方、「ニャク」「もしくは」は高校で習う読み方です。
若,「若」は書き順を間違えやすい漢字の一つです。「若」の書き順（筆順）
寂,うかんむりに叔
寂,「セキ」は高校で習う読み方です。
惹,心（こころ）に若
主,丶（てん・ちょぼ）に王
主,「ス」は高校で習う読み方です。
取,又（また）に耳
守,うかんむりに寸
守,「もり」は中学校で習う読み方です。
手,「た」は中学校で習う読み方です。
殊,かばねへん・いちたへん・がつへんに朱
狩,けものへんに守
珠,おうへん・たまへんに朱
種,禾（のぎへん）に重
腫,にくづきに重
腫,2010年11月30日に常用漢字に追加されました。
趣,そうにょうに取
酒,酉（とり・ひよみのとり・さけのとり）に氵
儒,にんべんに需
呪,くちへんに兄
呪,2010年11月30日に常用漢字に追加されました。
寿,寸（すん・すんづくり）に龵
授,てへんに受
授,「さずける」「さずかる」は中学校で習う読み方です。
樹,きへんに尌
綬,糸（いとへん）に受
需,雨（あめかんむり）に而
需,1989年に教育漢字から削除（六年生で習う漢字→中学校で習う漢字）
囚,囗（くにがまえ）に人
収,又（また）に丩
収,1989年に習う学年が変更されました。（五年生で習う漢字→六年生で習う漢字）
宗,うかんむりに示
宗,「ソウ」は中学校で習う読み方です。
就,京に尤
就,「つく」「つける」は中学校で習う読み方、「ジュ」は高校で習う読み方です。
州,「す」は中学校で習う読み方です。
修,「シュ」は中学校で習う読み方です。
愁,心（こころ）に秋
愁,「うれい」「うれえる」は高校で習う読み方です。
拾,てへんに合
拾,「シュウ」「ジュウ」は中学校で習う読み方です。
拾,証書・契約書などで改ざんや誤りを防ぐために、「十」の代わりとして用いる場合があります。
洲,さんずいに州
洲,「州」が書きかえとして用いられる字。
秀,禾（のぎ）に乃
秀,「ひいでる」は高校で習う読み方です。
秋,禾（のぎへん）に火
終,糸（いとへん）に冬
繍,糸（いとへん）に粛
習,羽（はね）に白
臭,自（みずから）に大
蒐,くさかんむりに鬼
衆,血（ち）に乑
衆,「シュ」は高校で習う読み方です。
衆,「衆」は書き順を間違えやすい漢字の一つです。→「衆」の書き順（筆順）
襲,衣（ころも）に龍
讐,言（げん・ことば）に雔
讐,言（げん・ことば）に隹に隹
蹴,あしへんに就
蹴,2010年11月30日に常用漢字に追加されました。
輯,車（くるまへん）に咠
輯,車（くるまへん）に口に耳
週,しんにょう・しんにゅうに周
週,1989年に習う学年が変更されました。（三年生で習う漢字→二年生で習う漢字）
酋,酉（とり・ひよみのとり・さけのとり）に八
酬,酉（とりへん）に州
集,隹（ふるとり）に木
集,「つどう」は中学校で習う読み方です。
集,「集」は書き順を間違えやすい漢字の一つです。→「集」の書き順（筆順）
醜,酉（とりへん）に鬼
什,にんべんに十
住,にんべんに主
充,儿（ひとあし・にんにょう）に𠫓
充,「あてる」は高校で習う読み方です。
従,「ショウ」「ジュ」は高校で習う読み方です。
柔,木（き）に矛
汁,さんずいに十
縦,糸（いとへん）に従
重,※重の成り立ちには諸説あり、上記以外の組み合わせの説や【会意】の説などもあります。
銃,かねへんに充
叔,又（また）に尗
夙,几に歹
宿,うかんむりに佰
宿,1989年に習う学年が変更されました。（四年生で習う漢字→三年生で習う漢字）
淑,さんずいに叔
祝,しめすへんに兄
祝,「シュウ」は高校で習う読み方です。
祝,1989年に習う学年が変更されました。（五年生で習う漢字→四年生で習う漢字）
縮,糸（いとへん）に宿
塾,土（つち）に孰
熟,れっか・れんがに孰
熟,「うれる」は中学校で習う読み方です。
出,「スイ」は中学校で習う読み方です。
出,「出」は書き順を間違えやすい漢字の一つです。→「出」の書き順（筆順）
術,行（ぎょうがまえ・ゆきがまえ）に朮
俊,にんべんに夋
峻,山（やまへん）に夋
春,日（ひ・にち）に𡗗
瞬,めへんに舜
瞬,「またたく」は高校で習う読み方です。
瞬,※当サイトでは総画数を18画としていますが、ブラウザなど環境によって表示が異なる可能性があり「㐄」を3画とした場合、総画数は17画となります。
竣,立（たつへん）に夋
駿,馬（うまへん）に夋
准,にすいに隹
循,ぎょうにんべんに盾
旬,日（ひ・にち）に勹
楯,木（きへん）に盾
殉,かばねへん・いちたへん・がつへんに旬
淳,さんずいに享
準,さんずいに隼
潤,さんずいに閏
純,糸（いとへん）に屯
巡,巛（まがりかわ）に辶
遵,しんにょう・しんにゅうに尊
醇,酉（とりへん）に享
順,頁（おおがい・いちのかい）に川
処,つくえ・きにょうに夂
初,「そめる」は中学校で習う読み方、「うい」は高校で習う読み方です。
所,戸（と・とびらのと）に斤
暑,日（ひ・にち）に者
暑,2010年の「今年の漢字」
曙,日（ひへん・にちへん）に署
渚,さんずいに者
庶,まだれに廿に灬
緒,糸（いとへん）に者
署,あみめ・あみがしら・よんがしらに者
薯,くさかんむりに署
藷,くさかんむりに諸
諸,言（ごんべん）に者
助,力（ちから）に且
助,「すけ」は中学校で習う読み方です。
叙,又（また）に余
女,「ニョ」「め」は中学校で習う読み方、「ニョウ」は高校で習う読み方です。
女,「女」は書き順を間違えやすい漢字の一つです。→「女」の書き順（筆順）
序,まだれに予
徐,ぎょうにんべんに余
恕,心（こころ）に如
鋤,金（かねへん）に助
鋤,金（かねへん）に且に力
除,こざとへんに余
除,「ジ」は中学校で習う読み方です。
除,1989年に習う学年が変更されました。（五年生で習う漢字→六年生で習う漢字）
傷,「いたむ」「いためる」は中学校で習う読み方です。
償,にんべんに賞
勝,「まさる」は中学校で習う読み方です。
匠,はこがまえに斤
召,口（くち）に刀
哨,口（くちへん）に
商,「あきなう」は中学校で習う読み方です。
唱,くちへんに昌
奨,大（だい）に将
妾,女（おんな）に立
娼,女（おんなへん）に昌
宵,うかんむりに肖
宵,「ショウ」は高校で習う読み方です。
尚,しょうがしら・なおがしらに冋
庄,广（まだれ）に土
床,まだれに木
廠,广（まだれ）に尚に攵
彰,彡（さんづくり・けかざり）に章
承,「うけたまわる」は中学校で習う読み方です。
承,2020年に習う学年が変更されました。（五年生で習う漢字→六年生で習う漢字）
抄,てへんに少
招,てへんに召
捷,てへんに疌
昇,日（ひ・にち）に升
昌,日（ひ・にち）に日
昭,ひへん・にちへんに召
晶,日（ひ・にち）に昍
晶,日（ひ・にち）に日に日
松,きへんに公
松,1989年に教育漢字に追加されました。（中学校で習う漢字→四年生で習う漢字）
梢,木（きへん）に肖
樟,木（きへん）に章
樵,木（きへん）に焦
沼,さんずいに召
沼,「ショウ」は高校で習う読み方です。
消,さんずいに肖
消,「銷」の書きかえとして用いられる字
渉,さんずいに歩
湘,さんずいに相
焼,ひへんに尭
焼,「ショウ」は中学校で習う読み方です。
焦,れっか・れんがに隹
焦,「あせる」は高校で習う読み方です。
照,れっか・れんがに昭
症,やまいだれに正
省,目に少
省,「かえりみる」は中学校で習う読み方です。
硝,いしへんに肖
礁,いしへんに焦
祥,しめすへんに羊
称,禾（のぎへん）に尓
称,1989年に教育漢字から削除（五年生で習う漢字→中学校で習う漢字）
章,立（たつ）に早
笑,たけかんむりに夭
笑,「ショウ」「えむ」は中学校で習う読み方です。
笑,1989年に習う学年が変更されました。（六年生で習う漢字→四年生で習う漢字）
粧,こめへんに庄
紹,糸（いとへん）に召
菖,くさかんむりに昌
蒋,くさかんむりに将
蕉,くさかんむりに焦
衝,ぎょうがまえ・ゆきがまえに重
訟,言（ごんべん）に公
証,言（ごんべん）に正
証,意味欄の[]内の漢字は、その漢字に由来する意味です。
詔,言（ごんべん）に召
詔,「みことのり」は高校で習う読み方です。
詳,言（ごんべん）に羊
醤,酉（とり・ひよみのとり・さけのとり）に将
鉦,金（かねへん）に正
鍾,金（かねへん）に重
鐘,かねへんに童
障,こざとへんに章
障,「さわる」は高校で習う読み方です。
鞘,革（かわへん）に
上,「のぼせる」「のぼす」は中学校で習う読み方、「ショウ」は高校で習う読み方です。
上,「上」は書き順を間違えやすい漢字の一つです。→「上」の書き順（筆順）
丞,一（いち）に氶
冗,わかんむりに几
剰,りっとうに乗
城,つちへん・どへんに成
城,「城」は書き順を間違えやすい漢字の一つです。→「城」の書き順（筆順）
場,つちへん・どへんに昜
壌,つちへん・どへんに㐮
嬢,おんなへんに㐮
常,「とこ」は高校で習う読み方です。
情,りっしんべんに青
情,「セイ」は高校で習う読み方です。
擾,てへんに憂
条,木（き）に夂
杖,木（きへん）に丈
浄,さんずいに争
状,犬（いぬ）に丬
畳,田（た）に冝
穣,禾（のぎへん）に㐮
蒸,くさかんむりに烝
蒸,「むす」「むれる」「むらす」は中学校で習う読み方です。
譲,言（ごんべん）に㐮
醸,酉（とりへん）に㐮
醸,「かもす」は高校で習う読み方です。
錠,かねへんに定
嘱,くちへんに属
埴,土（つちへん・どへん）に直
拭,てへんに式
拭,「ショク」は高校で習う読み方です。
拭,2010年11月30日に常用漢字に追加されました。
植,きへんに直
殖,かばねへん・いちたへん・がつへんに直
燭,火（ひへん）に蜀
織,糸（いとへん）に戠
織,「ショク」は高校で習う読み方です。
職,みみへんに戠
触,つのへんに虫
食,「ジキ」「くらう」は高校で習う読み方です。
食,※「食」の成り立ちには諸説あり、【3】の説などもあります。
食,1996年の「今年の漢字」
蝕,虫（むし）に𩙿
辱,たつ・しんのたつに寸
辱,「はずかしめる」は高校で習う読み方です。
尻,しかばね・かばね・しかばねかんむり・かばねだれに九
尻,2010年11月30日に常用漢字に追加されました。
伸,にんべんに申
信,にんべんに言
唇,口（くち）に辰
唇,「シン」は高校で習う読み方です。
娠,おんなへんに辰
審,うかんむりに番
慎,りっしんべんに真
振,てへんに辰
晋,日（ひ・にち）に亚
森,木（き）に木に木
榛,木（きへん）に秦
深,さんずいに罙
申,「シン」は中学校で習う読み方です。
疹,やまいだれに㐱
神,しめすへんに申
神,「かん」は中学校で習う読み方、「こう」は高校で習う読み方です。
秦,禾（のぎ）に𡗗
紳,糸（いとへん）に申
芯,くさかんむりに心
芯,2010年11月30日に常用漢字に追加されました。
薪,くさかんむりに新
診,言（ごんべん）に㐱
進,しんにょう・しんにゅうに隹
進,「進」は書き順を間違えやすい漢字の一つです。→「進」の書き順（筆順）
針,かねへんに十
震,雨（あめかんむり）に辰
震,1995年の「今年の漢字」
仁,にんべんに二
仁,「ニ」は中学校で習う読み方です。
刃,刀（かたな）に丶
刃,「ジン」は高校で習う読み方です。
塵,土（つち）に鹿
甚,「ジン」は高校で習う読み方です。
腎,肉（にく）に臤
腎,2010年11月30日に常用漢字に追加されました。
訊,言（ごんべん）に卂
迅,しんにょう・しんにゅうに卂
陣,こざとへんに車
靭,革（かわへん）に刃
笥,竹（たけかんむり）に司
諏,言（ごんべん）に取
須,おおがい・いちのかいに彡
須,2010年11月30日に常用漢字に追加されました。
酢,酉（とりへん）に乍
図,「はかる」は中学校で習う読み方です。
図,「図」は書き順を間違えやすい漢字の一つです。→「図」の書き順（筆順）
逗,しんにょう・しんにゅうに豆
吹,くちへんに欠
帥,巾（はば）に𠂤
推,てへんに隹
推,「おす」は中学校で習う読み方です。
炊,火（ひへん）に欠
睡,めへんに垂
粋,こめへんに卆
翠,羽（はね）に卒
遂,しんにょう・しんにゅうに㒸
酔,酉（とりへん）に卆
錐,金（かねへん）に隹
錘,金（かねへん）に垂
錘,2010年11月30日に常用漢字から削除され、人名用漢字に追加されました。
瑞,王（おうへん・たまへん）に耑
瑞,王（おうへん・たまへん）に山に而
崇,山（やま・やまかんむり）に宗
嵩,山（やま・やまかんむり）に高
数,「ス」は高校で習う読み方です。
枢,きへんに区
趨,走（そうにょう）に芻
雛,隹（ふるとり）に芻
据,てへんに居
杉,きへんに彡
椙,木（きへんに昌
菅,くさかんむりに官
頗,頁（おおがい・いちのかい）に皮
裾,ころもへんに居
裾,2010年11月30日に常用漢字に追加されました。
澄,さんずいに登
澄,「チョウ」は高校で習う読み方です。
摺,扌（てへん）に
瀬,さんずいに頼
是,日（ひ・にち）に𤴓
是,1989年に教育漢字から削除（六年生で習う漢字→中学校で習う漢字）
凄,にすいに妻
凄,2010年11月30日に常用漢字に追加されました。
勢,力（ちから）に埶
勢,1989年に習う学年が変更されました。（四年生で習う漢字→五年生で習う漢字）
姓,おんなへんに生
征,ぎょうにんべんに正
性,りっしんべんに生
性,「ショウ」は中学校で習う読み方です。
成,「ジョウ」は高校で習う読み方です。
成,「成」は書き順を間違えやすい漢字の一つです。→「成」の書き順（筆順）
政,のぶん・ぼくづくりに正
政,「ショウ」「まつりごと」は高校で習う読み方です。
整,敕に正
星,日に生
星,「ショウ」は中学校で習う読み方です。
晴,ひへん・にちへんに青
棲,木（きへん）に妻
栖,木（きへん）に西
清,さんずいに青
清,「ショウ」は高校で習う読み方です。
牲,うしへんに生
生,「おう」「き」は中学校で習う読み方です。
盛,皿（さら）に成
盛,「セイ」「さかる」「さかん」は中学校で習う読み方、「ジョウ」は高校で習う読み方です。
盛,1989年に教育漢字に追加されました。（中学校で習う漢字→六年生で習う漢字）
精,こめへんに青
精,「ショウ」は中学校で習う読み方です。
聖,耳（みみ）に口に王
声,「こわ」は中学校で習う読み方、「ショウ」は高校で習う読み方です。
製,衣（ころも）に制
誠,言（ごんべん）に成
誠,「まこと」は中学校で習う読み方です。
誠,「誠」は書き順を間違えやすい漢字の一つです。→「誠」の書き順（筆順）
誓,言（げん・ことば）に折
請,言（ごんべん）に青
請,「シン」「こう」は高校で習う読み方です。
逝,しんにょう・しんにゅうに折
逝,「ゆく」「いく」は高校で習う読み方です。
醒,酉（とりへん）に星
醒,2010年11月30日に常用漢字に追加されました。
青,「ショウ」は高校で習う読み方です。
静,青（あお）に争
静,「ジョウ」は中学校で習う読み方です。
税,禾（のぎへん）に兑
税,2014年の「今年の漢字」
脆,にくづきに危
隻,隹（ふるとり）に又
惜,りっしんべんに昔
戚,戉に尗
戚,2010年11月30日に常用漢字に追加されました。
斥,斤（きん・おの）に丶
昔,日（ひ・にち）に龷
昔,「シャク」は中学校で習う読み方、「セキ」は高校で習う読み方です。
昔,1989年に教育漢字に追加されました。（中学校で習う漢字→三年生で習う漢字）
析,きへんに斤
石,「コク」は中学校で習う読み方です。
石,「石」は書き順を間違えやすい漢字の一つです。→「石」の書き順（筆順）
積,禾（のぎへん）に責
籍,たけかんむりに耤
績,糸（いとへん）に責
責,貝（かい・こがい）に龶
赤,「シャク」は高校で習う読み方です。
跡,あしへんに亦
蹟,足（あしへん）に責
蹟,「跡」が書きかえとして用いられる字。
碩,石（いしへん）に頁
切,刀（かたな）に七
切,「サイ」は中学校で習う読み方です。
拙,てへんに出
接,てへんに妾
接,「つぐ」は高校で習う読み方です。
折,てへんに斤
設,言（ごんべん）に殳
窃,あなかんむりに切
節,たけかんむりに即
節,「セチ」は高校で習う読み方です。
説,言（ごんべん）に兑
説,「ゼイ」は高校で習う読み方です。
絶,糸（いとへん）に色
舌,「ゼツ」は中学校で習う読み方です。
舌,2020年に習う学年が変更されました。（五年生で習う漢字→六年生で習う漢字）
蝉,虫（むしへん）に単
仙,にんべんに山
占,卜（と・ぼく・ぼくのと・うらない）に口
宣,うかんむりに亘
専,寸（すん）に𤰔
専,「もっぱら」は中学校で習う読み方です。
専,「専」は書き順を間違えやすい漢字の一つです。→「専」の書き順（筆順）
尖,小（しょう・ちいさい）に大
川,「セン」は中学校で習う読み方です。
戦,戈（ほこ・ほこづくり・ほこがまえ）に単
戦,「いくさ」は中学校で習う読み方です。
戦,2001年の「今年の漢字」
扇,とだれ・とかんむりに羽
撰,扌（てへん）に巽
栓,きへんに全
泉,水（みず）に白
浅,さんずいに㦮
浅,「セン」は中学校で習う読み方です。
洗,さんずいに先
染,木（き）に氿
染,「セン」は中学校で習う読み方、「しみる」「しみ」は高校で習う読み方です。
潜,さんずいに替
煎,灬（れっか・れんが）に
煎,2010年11月30日に常用漢字に追加されました。
旋,ほうへん・かたへんに𠂉に疋
穿,あなかんむりに牙
箭,竹（たけかんむり）に
線,糸（いとへん）に泉
線,1989年に習う学年が変更されました。（三年生で習う漢字→二年生で習う漢字）
羨,𦍌に㳄
羨,「セン」は高校で習う読み方です。
羨,2010年11月30日に常用漢字に追加されました。
腺,にくづきに泉
腺,2010年11月30日に常用漢字に追加されました。
舛,夕に㐄
舛,※当サイトでは総画数を6画としていますが、ブラウザなど環境によって表示が異なる可能性があり「㐄」を4画とした場合、総画数は7画となります。
船,ふねへんに㕣
船,※昔の中国ではふねを、関東は舟、関西は船といいました。関東・関西は函谷関を基準とした呼称です。
船,「船」は書き順を間違えやすい漢字の一つです。→「船」の書き順（筆順）
薦,くさかんむりに廌
詮,訁（ごんべん）に
詮,2010年11月30日に常用漢字に追加されました。
賎,貝（かいへん）に戋
践,あしへんに㦮
選,しんにょう・しんにゅうに巽
遷,しんにょう・しんにゅうに䙴
銭,かねへんに㦮
銭,「ぜに」は中学校で習う読み方です。
銭,2020年に習う学年が変更されました。（五年生で習う漢字→六年生で習う漢字）
銑,金（かねへん）に先
銑,2010年11月30日に常用漢字から削除され、人名用漢字に追加されました。
閃,門（もんがまえ・かどがまえ）に人
鮮,うおへん・さかなへんに羊
漸,さんずいに斬
全,いりがしら・いりやねに王
禅,しめすへんに単
繕,糸（いとへん）に善
膳,にくづきに善
膳,2010年11月30日に常用漢字に追加されました。
糎,米（こめへん）に厘
噌,口（くちへん）に曾
塑,土（つち）に朔
岨,山（やまへん）に且
措,てへんに昔
楚,木（き）に木に疋
狙,けものへんに且
狙,2010年11月30日に常用漢字に追加されました。
疏,疋（ひきへん）に㐬
疎,ひきへんに束
疎,「うとい」「うとむ」は高校で習う読み方です。
礎,いしへんに楚
礎,いしへんに林に疋
祖,しめすへんに且
租,禾（のぎへん）に且
粗,こめへんに且
素,糸（いと）に龶
素,「ス」は中学校で習う読み方です。
組,糸（いとへん）に且
蘇,くさかんむりに穌
訴,言（ごんべん）に斥
阻,こざとへんに且
阻,「はばむ」は高校で習う読み方です。
遡,しんにょう・しんにゅうに朔
遡,しんにょう・しんにゅうに屰に月
遡,2010年11月30日に常用漢字に追加されました。
僧,にんべんに曽
創,りっとうに倉
双,又（また）に又
壮,士（さむらい）に丬
奏,「かなでる」は高校で習う読み方です。
爽,爻（こう・めめ）に爻に大
爽,㸚に大
爽,2010年11月30日に常用漢字に追加されました。
宋,宀（うかんむり）に木
層,しかばね・かばね・しかばねかんむり・かばねだれに曽
匝,巾（はば）に匚
惣,心（こころ）に物
想,心（こころ）に相
想,「ソ」は高校で習う読み方です。
想,1989年に習う学年が変更されました。（四年生で習う漢字→三年生で習う漢字）
捜,てへんに申に又
掃,てへんに帚
挿,てへんに𢆍
掻,てへんに𧈡
掻,てへんに又に虫
操,てへんに喿
操,「あやつる」は中学校で習う読み方、「みさお」は高校で習う読み方です。
早,日（ひ・にち）に十
早,「サッ」は中学校で習う読み方です。
巣,つ・つかんむりに果
巣,1989年に教育漢字に追加されました。（中学校で習う漢字→四年生で習う漢字）
槍,木（きへん）に倉
槽,きへんに曹
漕,さんずいに曹
燥,火（ひへん）に喿
痩,やまいだれに申に又
痩,「ソウ」は高校で習う読み方です。
痩,2010年11月30日に常用漢字に追加されました。
相,目（め）に木
相,「ショウ」は中学校で習う読み方です。
相,1989年に習う学年が変更されました。（四年生で習う漢字→三年生で習う漢字）
窓,あなかんむりに厶に心
窓,㝐に心
糟,米（こめへん）に曹
総,糸（いとへん）に忩
総,糸（いとへん）に公に心
綜,糸（いとへん）に宗
聡,耳（みみへん）に忩
聡,耳（みみへん）に公に心
草,くさかんむりに早
草,1989年に習う学年が変更されました。（[[二年生で習う漢字*https://kanjitisiki.com/syogako/syogaku1/]
荘,くさかんむりに壮
葬,くさかんむりに死に廾
葬,「ほうむる」は高校で習う読み方です。
蒼,くさかんむりに倉
藻,くさかんむりに澡
藻,くさかんむりに氵に喿
装,衣（ころも）に壮
装,「ショウ」は中学校で習う読み方、「よそおう」は高校で習う読み方です。
装,1989年に教育漢字に追加されました。（中学校で習う漢字→六年生で習う漢字）
送,しんにょう・しんにゅうに关
送,※送の成り立ちには諸説あり、【形声】の説もあります。
遭,しんにょう・しんにゅうに曹
鎗,金（かねへん）に倉
霜,雨（あめかんむり）に相
霜,「ソウ」は高校で習う読み方です。
騒,うまへんに又に虫
像,にんべんに象
増,つちへん・どへんに曽
憎,りっしんべんに曽
臓,にくづきに蔵
臓,「臓」は書き順を間違えやすい漢字の一つです。→「臓」の書き順（筆順）
蔵,「くら」は中学校で習う読み方です。
