漢字,意味
灼,やく。あぶる。
灼,あきらか。あかるい
灼,やいと。灸。
灼,◦国 あらたか。はっきりとあらわれる。
爵,さかずき。
爵,爵位。貴族の身分をあらわすもの。
爵,爵位を授ける。
酌,くむ。酒をくむ。
酌,くみとる。おしはかる。
酌,酒をくみかわす。
釈,とく。ときあかす。
釈,すてる。
釈,とく。とける。
釈,ゆるす。ときはなつ。
釈,釈迦。仏教。
錫,すず。白銀色の金属。
錫,僧や道士が用いる杖。
錫,たまう。あたえる。
錫,たまもの。
若,◦一 したがう。
若,◦一 なんじ。
若,◦一 しく。匹敵する。同等である。
若,◦一 ごとし。「～のようだ」の意で比較を表す助字。
若,◦一 いかん。いかんせん。状態・方法を問う。
若,◦一 もし。「もし～ならば」の意で、仮定を表す助字。
若,◦一 もしくは。または。あるいは。
若,◦一 形容の語に添える助字。
若,◦二 梵語の音訳字。
若,◦国 わかい。年がわかい。
寂,さびしい。しずか。ひっそりとした。
寂,◦国 さび。おもむき。ふるくなり趣のあること。
寂,◦国 さびれる。
弱,よわい。かよわい。力がない。
弱,しなやか。やわらか。
弱,よわる。よわまる。
弱,若い。
弱,二十歳。
弱,ある数にわずか足りないこと。端数を切り上げたときに用いる、数に添える語。
惹,ひく。ひきつける。
惹,ひき起こす。
主,ぬし。あるじ。おさ。かしら。
主,もと。根本。
主,おも。おもな。おもに。
主,つかさどる。
主,中心となるもの。
主,キリスト教の神。
主,◦国 相手を親しみや尊敬を込めて呼ぶ語。
主,◦国 ある場所に宿る神霊。
取,とる。手に持つ。手に入れる。とりあげる。受けとる。
取,めとる。妻を迎える。
守,まもる。ふせぐ。みはる。持ちこたえる。
守,まもり。そなえ。
守,地方官。長官。
守,◦国 かみ。地方官の最上官。国司の最高位。
守,◦国 もり。おもり。
手,て。てくびから先の部分。また、手首。
手,肩から指先までの部分。
手,てにする。持つ。
手,てずから。自分で。
手,すぐれた技術や能力を持つ人。
手,ある事をする人。
手,◦国 筆跡。文字の書き方。
手,◦国 やり方。方法。
手,◦国 方向。
朱,あか。あけ。少し黄を帯びたあか。
朱,赤色の顔料。
朱,◦国 江戸時代の通貨の単位。一両の十六分の一。
殊,ころす。
殊,たつ。たちきる。
殊,しぬ。亡くなる。
殊,ことなる。ことにする。
殊,ことに。とくに。
狩,かる。かりを行う。
狩,かり。鳥獣を追い立てて捕まえること。
狩,天子が領地を見めぐること。
狩,◦国 かり。探し求める。
珠,たま。真珠。
珠,たまのような形のもの。
珠,美しいもののたとえ。
種,◦一 たね。植物のたね。
種,◦一 物事の原因となるもの。
種,◦一 血筋。
種,◦一 たぐい。なかま。
種,◦二 うえる。たねをまく。苗をうえる。
腫,はれもの。できもの。
腫,はれる。皮膚がはれる。
趣,◦一 おもむく。行く。向かう。
趣,◦一 おもむき。かんがえ。むね。あじわい。様子。
趣,◦二 うながす。せかす。
酒,さけ。アルコールを含む飲料。
酒,さかもり。さけを飲む。
首,くび。こうべ。かしら。あたま。
首,おさ。統率する者。
首,はじめ。先頭。第一。
首,はじめる。
首,むかう。むける。
首,もうす。白状する。
首,◦国 おびと。古代の姓の一つ。
首,◦国 しるし。戦場で討ち取った敵のくび。
儒,学者。学問を修めた人。
儒,儒教。孔子を始祖とする学問の流派。また、その学者。
受,うける。うけとる。もらう。
受,うけ入れる。聞き入れる。
受,こうむる。
受,◦国 うけ。気うけ。
受,◦国 うかる。合格する。
呪,のろう。のろい。
呪,まじなう。まじない。
寿,長生きする。
寿,とし。いのち。
寿,ことぶき。いわい。
寿,ことほぐ。祝いの言葉をおくる。
授,さずける。あたえる。手渡す。
授,つたえる。つたえ教える。
授,さずかる。いただく。
樹,き。立ち木。
樹,うえる。木をうえる。
樹,たてる。うちたてる。つくり上げる。
綬,ひも。くみひも。官職を示す組みひも。
綬,◦国 じゅ。勲章などをさげるひも。
需,まつ。
需,もとめる。必要とする。
需,易の六十四卦の一つ。
囚,とらえる。拘禁する。
囚,とらわれる。
囚,罪人。とらわれた人。
収,おさめる。おさまる。取り入れる。取り立てる。あつめる。受け取る。
収,ちぢむ。ちぢまる。しぼむ。
収,とらえる。
収,まとめる。とりまとめる。
周,まわり。めぐり。あたり。
周,あまねく。あまねし。広く行き渡る。
周,めぐる。まわる。
周,古代中国の王朝の名。
宗,みたまや。先祖の霊をまつる所。
宗,むね。主なもの。中心となるもの。
宗,祖先。
宗,おおもと。本家。
宗,おさ。かしら。
宗,教義。教理。また、それを信仰する集団。
就,つく。つける。近づく。つき従う。地位・仕事につく。
就,なる。なす。し遂げる。
就,◦国 ついては。～に関して。
州,す。しま。なかす。川の中にある土砂が積もってできた陸地。
州,くに。
州,行政区画の一つ。
修,おさめる。ならう。まなぶ。
修,そなえる。
修,ととのえる。
修,つくろう。なおす。
修,書物にまとめる。
修,かざる。
修,ながい。ながさ。
愁,うれえる。心配する。かなしむ。心を痛める。
愁,うれい。心配。
愁,さびしい。
拾,ひろう。あつめる。落ちているものを手にする。
拾,とお。十の大字。
拾,ゆごて。弓を射るときに左腕を覆い、弦があたるのを防ぐ道具。
洲,す。なかす。川の中にある陸地。しま。
洲,くに。大陸。
秀,ひいでる。すぐれる。ぬきんでる。
秋,あき。四季の一つ。
秋,とき。大事な時期。
秋,とし。年月。
秋,みのり。穀物がみのる。
終,おわる。おえる。しまう。すませる。
終,おわり。しまい。最後。
終,ついに。とうとう。おわりまで。最後まで。
繍,ぬいとり。色糸で模様を縫いつづること。
繍,にしき。美しい模様の織物。
繍,うつくしい。
習,ならう。まなぶ。なれる。繰り返し行う。
習,ならい。ならわし。
習,かさねる。
臭,◦一 におい。悪いにおい。
臭,◦一 くさい。悪いにおいがする。
臭,◦一 わるい。よくない。
臭,◦二 かぐ。においをかぐ。
舟,ふね。小型のふね。
舟,酒壺の下に敷く台。
舟,おびる。めぐらす。
蒐,あかね。アカネ科のつる性多年草。
蒐,あつめる。
蒐,かり。春の狩り。
蒐,さがす。もとめる。
衆,おおい。数が多い。
衆,もろもろ。
衆,多くの人。
襲,かさねる。かさなる。
襲,おそう。つぐ。うけつぐ。
襲,おそう。不意に攻める。
襲,かさね。上下一そろいの衣服。
讐,こたえる。応じる。
讐,むくいる。つぐなう。仕返しをする。
讐,あだ。かたき。
讐,ただす。くらべただす。
蹴,ける。足でける。
蹴,ふむ。ふみつける。
蹴,◦国 ける。こばむ。ことわる。
輯,あつめる。まとめる。材料をあつめる。
輯,あつまる。
輯,やわらぐ。やわらげる。穏やかになる。
週,めぐる。まわる。
週,七日間を一期とする時間の単位。
酋,ふるざけ。長い間熟成させた酒。
酋,酒を管理する職人のかしら。
酋,かしら。おさ。
酋,おえる。仕上げる。
酬,むくいる。客から返杯された酒を再び返す。
酬,むくいる。こたえる。かえす。
酬,むくい。
集,あつまる。あつめる。つどう。群がる。
集,あつまり。つどい。
集,なる。なす。成し遂げる。
集,詩文などの作品をあつめた書物。
醜,にくむ。いみきらう。
醜,みにくい。みめわる。みぐるしい。
醜,たぐい。似る。仲間。
醜,はじる。はずかしめる。
什,十人。十人一組。十人を一組とした昔の軍隊の単位。
什,とお。一〇。
什,日常で使用する器物。
什,詩編。詩歌。
住,すむ。すまう。
住,すまい。すんでいるところ。
住,とどまる。とまる。
充,みちる。みたす。
充,あてる。あてがう。
十,とお。と。
十,とたび。十度。
十,満ち足りている。不測のない。
十,たくさん。数が多い。
従,したがう。したがえる。つきしたがう。服する。
従,たずさわる。
従,より。から。
従,したがって。それゆえ。よって。
従,たて。南北。
従,ゆったりする。落ち着いた。
従,とも。しもべ。家来。
従,そえ。正の次の位。
従,三親等内の親族。
戎,武器。兵器。
戎,つわもの。兵士。軍人。
戎,いくさ。たたかい。戦争。
戎,おおきい。
戎,えびす。異民族。中国の西方の異民族。
柔,やわらかい。しなやか。
柔,やさしい。おだやか。
柔,よわよわしい。
柔,やわらげる。穏やかにする。
柔,◦国 やわら。柔術。
汁,しる。つゆ。液体。
渋,しぶる。物事が円滑にはこばない。
渋,しぶい。味がしぶい。
渋,◦国 しぶ。かきしぶ。しぶがきからとった液。
渋,◦国 しぶ。くりの薄い皮。
渋,◦国 しぶい。落ち着いた趣のあること。
獣,けもの。けだもの。
獣,ほしじ。干し肉。
縦,◦一 ゆるめる。ゆるい。
縦,◦一 ゆるす。
縦,◦一 はなつ。矢をはなつ。火をつける。
縦,◦一 ほしいまま。勝手気まま。
縦,◦一 ほしいままにする。
縦,◦一 たとい。たとえ。よしんば。
縦,◦二 たて。上下・南北の方向。
重,◦一 おもい。多い。ひどい。大切な。おもおもしい。
重,◦一 おもんじる。とうとぶ。大切にする。
重,◦二 かさねる。かさなる。くりかえす。
重,◦二 かさねて。さらに。
重,◦国 え。重なったものを数える助数詞。
銃,おのの柄をさす穴。
銃,つつ。鉄砲。弾丸を打ち出す武器。
叔,ひろう。
叔,兄弟の上から三番目。
叔,夫のおとうと。
叔,おじ。父のおとうと。
叔,わかい。年少。
夙,つとに。朝早く。以前から。
夙,あさ。早朝。
夙,はやい。
夙,つつしむ。
宿,やど。やどや。
宿,やどる。とまる。
宿,やどす。とめる。とどめる。
宿,前々からの。かねてからの。
宿,経験を積んだ。
宿,星座。
宿,◦国 宿場。馬継ぎ場。
淑,きよい。きよらか。
淑,よい。しとやか。つつましい。
祝,◦一 いわう。いわい。いのる。ことほぐ。
祝,◦一 はふり。神に仕えるもの。
祝,◦一 たつ。たち切る。
祝,◦二 のる。のりと。神に告げる。
祝,◦二 のろう。まじなう。
縮,ちぢむ。ちぢまる。ちぢめる。短くなる。小さくなる。
縮,ちぢこまる。かしこまる。すくむ。
縮,酒袋をちぢめてしぼる。
縮,なおし。正しい。
縮,◦国 ちぢみ。ちぢみ織りのこと。
粛,つつしむ。かしこまる。
粛,きびしい。
粛,おごそか。
粛,しずか。
塾,門の両側に建てられた部屋。
塾,まなびや。学舎。
熟,にる。にえる。
熟,うれる。うむ。じゅくする。果実がうれる。
熟,十分な。
熟,つらつら。つくづく。
熟,◦国 こなす。なれる。こなれる。
出,でる。外にでる。あらわれる。
出,うまれる。
出,ぬきんでる。
出,ある範囲を超える。
出,下がる。逃れる。
出,だす。外にだす。
出,◦国 で。生まれ。出身。
術,みち。とおりみち。すじみち。
術,すべ。方法。手段。手立て。
術,わざ。技芸。
術,たくらみ。はかりごと。
述,のべる。説明する。言う。書き表す。
述,したがう。受け継ぐ。
俊,すぐれる。ひいでる。
俊,すぐれた人物。
峻,たかい。おおきい。
峻,けわしい。山が高くけわしい。
峻,きびしい。
春,はる。四季の一つ。
春,年のはじめ。
春,青年期。
春,情欲。男女間の性的な欲望。
春,年月。
瞬,またたく。まばたく。
瞬,またたき。まばたき。
瞬,ごくわずかな時間。
竣,しりぞく。
竣,おわる。おえる。
竣,とどまる。とどめる。
舜,むくげ。アオイ科の落葉低木。
舜,太古の伝説上の聖天子。五帝の一人。
駿,良馬。すぐれた馬。足が速い馬。
駿,はやい。すばやい。
駿,すぐれる。すぐれた人物。
駿,おおきい。たかい。
准,なぞらえる。のっとる。
准,ゆるす。みとめる。
循,したがう。後ろについて行く。よりそう。
循,めぐる。まわる。めぐり歩く。
旬,十日間。
旬,十年。
旬,あまねし。ゆきわたる。
旬,◦国 野菜、果物、魚介類などの食材が新鮮で盛んに出まわる時期。
楯,てすり。欄干。
楯,たて。身を守る武具。
殉,したがう。死んだ者の後を追い死ぬこと。
殉,したがう。ある事のために命を捨てること。
淳,あつい。人情があつい。
淳,すなお。ありのまま。飾り気のない。
淳,混じりけのない。
準,◦一 みずもり。水平をはかる器具。水準器。水平器。
準,◦一 のり。めやす。手本。
準,◦一 たいら。たいらか。
準,◦一 なぞらえる。のっとる。あるものに次ぐ。
準,◦一 はかる。
準,◦二 鼻ばしら。鼻すじ。
潤,うるおう。うるおす。しめる。ゆたかになる。
潤,うるおい。しめり。つや。
潤,もうけ。利益。
盾,たて。身を守る武具。
純,きいと。まじりけがない糸。
純,まじりけがない。かざらない。ありのまま。
純,もっぱら。
純,偽りのない。けがれのない。
巡,めぐる。めぐり歩く。
巡,まわる。見まわる。
遵,したがう。のっとる。筋道やきまりをまもる。
醇,よく熟した混じり気がない濃い酒。
醇,混じり気がない。
醇,もっぱら。
醇,あつい。人情があつい。
順,したがう。逆らわない。同じ方へ行く。ならう。
順,すなお。
順,順序。物事の次第。
順,都合がよい。妨げがない。
処,◦一 おる。いる。とどまる。住む。落ち着く。
処,◦一 世の中に出ず家にいること。
処,◦一 おく。すえる。
処,◦一 とりさばく。物事に始末をつける。
処,◦二 ところ。場所。
初,はじめ。はじまり。おこり。もと。最初。
初,はじめて。最初。
初,◦国 そめる。はじめる。
初,◦国 うぶ。世間ずれしていない。
初,◦国 はつ。うい。はじめての。最初の。
所,ところ。ば。ばしょ。
所,地位。
所,あることをする施設・場所。
所,～するところの。～とするもの。動作の内容などを表す助字。
所,る・らる。～されるの意で、受け身を表す助字。
暑,あつい。気温が高い。
暑,あつさ。
暑,あつい季節。
曙,あけぼの。夜明け。
曙,あける。夜が明ける。
渚,なぎさ。みぎわ。波打ち際。
渚,す。なかす。川の中にある陸地。
庶,おおい。たくさん。
庶,もろもろ。さまざま。多くの。
庶,こいねがう。
庶,ちかい。
緒,いとぐち。糸のはじめ。
緒,はじめ。はじまり。おこり。
緒,すじ。つながり。
緒,◦国 お。ひも。
署,やくわり。わりあて。役目を割り当てる。
署,役所。
署,しるす。書きしるす。
書,かく。かきしるす。
書,文字。
書,ふみ。手紙。本。書き記したもの。
書,文字の書き方。
書,書経のこと。
薯,いも。やまのいも。ながいも。
薯,いも類の総称。
藷,いも。いも類。
藷,藷蔗。さとうきび。イネ科の多年草。
藷,藷藇。やまのいも。ながいも。
諸,もろもろ。多くの。いろいろな。さまざまな。
諸,これ。代名詞。
助,たすける。力を貸す。
助,たすけ。
助,殷・周代の税法。土地を九区画に分けて、周囲八区画を八家にあたえて、中央を共同で耕し収穫したものを税とする方法。
助,◦国 すけ。律令制の四等官、寮の第二等官。
助,◦国 特徴などに添えてその人を呼び表す語。
叙,ついず。順序をつける。
叙,のべる。順序だててのべる。
叙,順序。序列。
女,◦一 おんな。め。女性。
女,◦一 むすめ。おとめ。
女,◦一 おんなの子ども。
女,◦一 二十八宿の一つ。うるきぼし。
女,◦二 めあわせる。嫁入りさせる。
女,◦三 なんじ。二人称代名詞。
序,家の東西にある塀。
序,まなびや。学校。
序,のべる。申しのべる。
序,ついで。順番。並び。
序,いとぐち。物事の始まり。最初の部分。
序,はしがき。はじめに書かれた著者の考えなどを示した文章。
徐,おもむろ。ゆっくり。しずか。ゆるやか。
徐,徐州（ジョシュウ）。古代中国、九州の一つ。
恕,ゆるす。大目に見る。
恕,おもいやる。いつくしむ。おもいやり。
鋤,すき。田畑を耕す農具の一種。
鋤,すく。田畑を耕す。
鋤,のぞく。とりのぞく。
除,のぞく。取りのぞく。のける。よける。はらう。清める。
除,新しい官職につける。
除,割り算。わる。
傷,きず。怪我。
傷,そこなう。きずつく。きずつける。
傷,いたむ。いためる。かなしむ。心配する。
償,つぐなう。あがなう。かえす。埋め合わす。
償,つぐない。
勝,かつ。戦いにかつ。
勝,まさる。すぐれる。
勝,たえる。こらえる。
匠,たくみ。大工。職人。
匠,ある分野において秀でた人物。
匠,こる。工夫する。
升,ます。容量をはかる容器。
升,容量の単位。一合の十倍。
升,のぼる。あがる。
升,みのる。みのり。
升,易の六十四卦の一つ。
召,めす。呼び寄せる。呼び出す。
召,まねく。
召,◦国 「食べる」「着る」などの尊敬語。
哨,口をすぼめる。口笛を吹く。
哨,みはり。見張りをする。
商,あきなう。あきない。品物を売買する。
商,あきんど。商人。
商,はかる。おしはかる。
商,五音の一つ。
商,星の名。心宿のこと。
商,割り算の答え。
商,王朝の名。「殷」「殷商」とも。
唱,となえる。声をあげて読む。先だって言う。
唱,うた。うたう。
嘗,なめる。味をみる。あじわう。
嘗,こころみる。ためす。
嘗,かつて。以前。
嘗,その年に収穫した穀物を神に供える祭り。
奨,すすめる。はげます。
奨,ほめる。
奨,たすける。
妾,はしため。女の召し使い。
妾,めかけ。側室。
妾,わらわ。女性が自分をへりくだっていう語。
娼,あそびめ。うたいめ。遊女。
宵,よい。日の入り後。
宵,よ。よる。
宵,ちいさい。
将,◦一 ひきいる。指揮する。従えて行く。
将,◦一 軍隊をひきいる者。
将,◦二 はた。それとも。あるいは。
将,◦二 まさに。まさに～せんとす。「今にも～しそうだ」の意。
小,ちいさい。少ない。
小,幼い。若い。
小,とるに足りない。価値のない。
小,自分に関することをへりくだっていう語。
小,◦国 さ。こ。お。語調を整えたり意味を添加する接頭語。
少,◦一 すくない。まれ。わずか。
少,◦一 すこし。ちょっと。
少,◦一 しばらく。
少,◦二 わかい。幼い。
少,◦二 添え役。
尚,たかい。たかくする。
尚,たっとぶ。とうとぶ。
尚,なお。さらに。
尚,くわえる。かさねる。
尚,ひさしい。
尚,こいねがう。こいねがわくは。ねがう。
庄,◦一 いなか。むらざと。いなかや。
庄,◦二 たいらか。平らなさま。
床,寝台。腰かけ。
床,◦国 とこ。ゆか。
床,◦国 とこ。ねどこ。
床,◦国 とこ。とこのま。
床,◦国 ゆかしい。おくゆかしい。心がひかれる。
廠,かりや。壁のない建物。
廠,うまや。馬小屋。
廠,しごとば。工場。
彰,あや。模様。
彰,あらわす。あらわれる。
彰,あきらか。はっきりしている。
承,うける。うけ入れる。
承,うけ継ぐ。
承,◦国 うけたまわる。聞くの謙譲語。
抄,かすめる。かすめとる。
抄,すくう。すくいとる。
抄,うつす。書きうつす。
抄,ぬきがき。
抄,すく。紙をすく。
抄,◦国 注釈書。
招,まねく。まねき寄せる。手まねきする。
招,呼び寄せる。
掌,たなごころ。てのひら。
掌,つかさどる。とりしきる。とりあつかう。
捷,かつ。勝利する。成功する。
捷,はやい。すばやい。
捷,さとい。
捷,近道をする。
昇,のぼる。日がのぼる。あがる。
昌,さかん。さかえる。勢いがよい。
昌,あきらか。あかるい。
昌,うつくしい。
昌,よい。ただしい。
昭,あきらか。明るい。はっきりとした。
昭,あきらかにする。
昭,宗廟の順序の名。始祖廟の左に位置する廟。
晶,あきらか。きらきらと輝く。
晶,水晶。
松,まつ。マツ科の常緑針葉樹。
梢,こずえ。木の枝の先。
梢,すえ。はし。
梢,かじ。船のかじ。
梢,さお。拍子をとるための竹のさお。
樟,くす。くすのき。クスノキ科の常緑高木。
樵,たきぎ。まき。
樵,きこり。木を伐採する人。
樵,きこる。こる。たきぎをとる。
沼,ぬま。水際が曲がりくねった大きなみずたまり。
沼,◦国 ぬま。泥を多く含んだ浅い池。
消,きえる。けす。なくなる。
消,おとろえる。
消,ついやす。
消,控えめにする。
渉,わたる。川を歩いてわたる。
渉,わたる。歩き回る。
渉,かかわる。関係する。
湘,川の名。湘水。湘江。
焼,◦一 やく。やける。もえる。もやす。
焼,◦二 野火。
焼,◦国 やく。気をつかう。
焼,◦国 やく。ねたむ。
焼,◦国 やき。やきいれ。
焦,こげる。こがす。
焦,◦国 こがれる。恋い慕う。切望する。
焦,◦国 あせる。気がせく。気をもむ。
照,てらす。てる。光があたる。
照,てらし合わせる。
照,うつす。うつしだす。
照,ひかり。日の光。
照,写真。
照,◦国 てる。晴れる。
照,◦国 てれる。恥ずかしく思う。
症,しるし。病気の状態。
省,みる。よくみる。
省,かえりみる。振り返って考える。安否を尋ねる。訪ねる。
省,はぶく。へらす。
省,役所。官庁。
省,中国の行政区画の名。
硝,硝石。火薬などの原料となる鉱物の名。
礁,かくれいわ。水面で見え隠れする水中にある岩。
祥,さいわい。めでたいこと。
祥,きざし。しるし。めでたいことのきざし。吉凶のきざし。
称,◦一 はかる。重さをはかる。
称,◦一 となえる。のべる。よぶ。
称,◦一 となえ。呼び名。
称,◦一 あげる。持ちあげる。
称,◦一 たたえる。ほめる。
称,◦二 はかり。重さをはかる道具。
称,◦二 かなう。当てはまる。適する。
章,しるし。
章,あや。模様。
章,あきらか。あきらかにする。
章,ふみ。文書。
章,法律。条文。
章,詩文や音楽などの一節。
笑,わらう。えむ。ほほえむ。
笑,花が咲く。
粧,よそおう。化粧をする。かざる。
粧,よそおい。
紹,つぐ。つなぐ。うけつぐ。
紹,とりもつ。間に立って人と人をつなぐ。
肖,にる。姿や形がにる。
肖,かたどる。にせる。
肖,あやかる。
菖,菖蒲。サトイモ科の多年草。
菖,◦国 しょうぶ。はなしょうぶ。アヤメ科の多年草。
蒋,◦一 まこも。イネ科の多年草。沼沢に群生する。
蒋,◦二 はげます。
蒋,◦二 周代の国の名。楚によって滅ぼされる。
蕉,芭蕉。バショウ科の多年草。中国原産で大きな葉をつける。
衝,大通り。
衝,つく。あたる。ぶつかる。
衝,戦車。
裳,も。もすそ。したばかま。腰から下をおおう衣服。
訟,うったえる。うったえ。
訟,せめる。いいあらそう。とがめる。
訟,易の六十四卦の一つ。
証,[証]いさめる。
証,[証]あかし。しるし。
証,[證]あかす。あかしを立てる。証明する。
証,[證]あかし。しるし。
証,[證]さとり。
証,[證]病状。病気の状態。
詔,つげる。しらせる。上の者が下の者へ伝える。
詔,みことのり。天子の命令。
詳,くわしい。つまびらか。こまやか。
詳,つまびらかにする。明らかにする。
詳,いつわる。
象,ぞう。ゾウ科の哺乳動物。長い鼻と大きな耳を持つ大型の動物。
象,象牙。
象,かたち。すがた。ようす。
象,かたどる。なぞらえる。
賞,功労などに対して与えられる褒美。
賞,ほめる。たたえる。
賞,めでる。たのしむ。
醤,ひしお。麦・米・豆などを発酵させて塩をまぜたもの。
醤,ししびしお。肉を塩・麹などに漬け込んだもの。
鉦,かね。打楽器の一種。軍中で中止や休戦などの合図に用いる。
鉦,かねの中央部。
鍾,さかつぼ。
鍾,さかずき。
鍾,かね。つりがね。
鍾,容量の単位。約五十リットル。
鍾,あつめる。あつまる。
鐘,かね。つりがね。打楽器の一つ。
鐘,時を知らせるかね。
鐘,時計。
障,さわる。差し支える。さまたげ。
障,へだてる。さえぎる。ふせぐ。さまたげる。
障,ふせぎ。まもり。ついたて。
障,さわり。邪魔。
鞘,◦一 むち。むちの先。
鞘,◦二 さや。刀室。刀身をおさめる筒状の覆い。
上,◦一 うえ。うわ。かみ。高いところ。地位や身分・能力や程度などが高い。
上,◦一 前。順が先。
上,◦一 ほとり。あたり。
上,◦二 あがる。のぼる。うえへ進む。高いほうへ移動する。
上,◦二 あげる。のぼせる。高くする。
上,◦二 たてまつる。さしあげる。
上,◦二 四声の一つ。
丈,長さの単位。一尺の十倍。
丈,たけ。長さのこと。
丈,土地を測量する。
丈,年長者に対する敬称。
丈,◦国 芸名に添える敬称。
丞,たすける。補佐する。
丞,◦国 じょう。律令制の四等官、省の第三等官。
乗,のる。乗り物にのる。
乗,じょうじる。つけこむ。
乗,かけ算。かけ算する。
乗,四つで一組のもの。
乗,記録。歴史書。
乗,人々を悟りの境地に導く教えのこと。
冗,ひま。
冗,むだ。不要な。
冗,わずらわしい。
剰,あまる。
剰,あまり。のこり。
剰,あまつさえ。さらに。その上。
城,しろ。都市を囲む高い壁。また、城壁で囲まれた都市。
城,きずく。城をつくる。
城,◦国 しろ。き。堀や柵など外敵を防ぐためのもの。
場,ば。広場。ところ。
場,おり。機会。
場,◦国 劇の一区切り。
壌,つち。柔らかく肥えた耕作に適した土地。
壌,大地。
壌,みのる。
嬢,はは。
嬢,◦国 むすめ。少女。
嬢,◦国 未婚の女性に対する敬称。
常,つね。いつまでも変わらない。
常,変わらない守るべき道。
常,なみ。普通。
常,ふだん。いつも。
常,つねに。とこしえに。
常,◦国 いつまでも変わらない意を表す接頭語。
情,こころ。気持ち。感情。
情,愛情。男女間の愛情。
情,なさけ。思いやり。心づかい。
情,まごころ。
情,おもむき。味わい。
情,ありさま。ようす。
擾,みだす。みだれる。
擾,さわぐ。さわがしい。
擾,わずらわしい。
擾,ならす。なつける。
条,えだ。木の枝。小枝。
条,すじ。みちすじ。
条,一つずつ書き分けたもの。
条,ながい。
条,のびる。のびやか。
条,細長いものを数える助数詞。
杖,つえ。
杖,つえつく。つえをつく。
杖,よる。たよる。
杖,五刑の一つ。杖でからだを打つ刑罰。
浄,きよい。きれい。けがれのない。
浄,きよめる。けがれをのぞく。
状,かたち。すがた。ようす。
状,あらわす。ようすを言い表す。
状,かきつけ。文書。
畳,たたむ。折りたたむ。
畳,かさねる。かさなる。積みかさねる。
畳,◦国 たたみ。イグサなどでつくった敷物。
畳,◦国 じょう。たたみを数える助数詞。
穣,みのる。ゆたか。穀物がよく実る。
穣,わら。稲などの茎。
穣,さかん。盛んなさま。
蒸,むす。むれる。むらす。ふかす。湯気で熱する。
蒸,おおい。もろもろ。多くの人。
蒸,あさがら。皮を取った麻の茎。
譲,ゆずる。ゆずり与える。控えめにする。
譲,へりくだる。
譲,せめる。なじる。
醸,かもす。酒をかもす。
醸,さけ。
醸,時間をかけてつくりだす。
錠,たかつき。食物を盛る道具。祭器の一つ。
錠,◦国 錠前。
錠,◦国 丸い固形の薬。また、それを数える助数詞。
嘱,いいつける。
嘱,たのむ。まかせる。
埴,はに。粘土。
飾,かざる。うわべをつくろう。よそおう。
飾,かざり。
拭,ふく。ぬぐう。よごれをきれいにする。
植,うえる。草木をうえる。
植,草木。
植,たてる。真っ直ぐにたてる。
植,そだてる。ふえる。
植,はしら。
殖,ふえる。ふやす。子孫がふえる。財産がふえる。
殖,植える。
燭,ともしび。あかり。
燭,てらす。あかりをあてる。
燭,◦国 しょく。光度の単位。
織,◦一 おる。機をおる。布をつくる。
織,◦一 組み立てる。
織,◦二 色糸でおった布。
織,◦二 しるし。はたじるし。
職,つかさ。役目。
職,つかさどる。担当する。
職,つとめ。任務。
職,いとなみ。仕事。
色,いろ。いろどり。
色,顔いろ。顔つき。顔かたち。
色,おもむき。ありさま。
色,男女間の情欲。
色,仏教で形あるものすべて。
色,◦国 恋人。情人。
色,◦国 いろ。ひびき。
触,ふれる。さわる。あたる。おかす。
触,ふれる。広く知らせる。
触,ふれ。布告。
食,くう。たべる。くらう。はむ。のむ。食事をする。
食,たべもの。食事。
食,生活する。
食,扶持。俸禄。
食,かける。日や月が欠ける。
食,くわらす。たべさせる。
食,やしなう。やしない育てる。
食,めし。
蝕,むしばむ。虫が食う。おかす。
蝕,太陽や月が欠ける。
辱,はずかしめる。恥をかかせる。
辱,はじ。はずかしめ。
辱,かたじけない。もったいない。申し訳ない。
尻,しり。臀部。肛門。
尻,◦国 しり。おわり。すえ。
伸,のびる。のばす。長さが増す。真っ直ぐになる。
伸,ひろがる。ひろげる。
伸,のべる。もうす。
信,◦一 まこと。真実。うそがない。誠実。
信,◦一 まことに。本当に。
信,◦一 しんじる。疑わない。
信,◦一 まかせる。
信,◦一 しるし。あかし。割り符。
信,◦一 便り。知らせ。手紙。
信,◦二 のびる。のばす。
侵,◦一 おかす。他者の権利などを損なう。他者の領分に入り込む。
侵,◦二 みにくい。
唇,くちびる。
娠,はらむ。みごもる。
寝,みたまや。おたまや。先祖の霊をまつる建物。
寝,奥の間。奥座敷。
寝,ねる。横になる。
寝,やめる。とりやめる。
寝,みにくい。
審,つまびらかにする。しっかり理解する。明らかにする。
審,つまびらか。くわしい。
心,こころ。精神。気持ち。考え。
心,心臓。五臓の一つ。
心,中心。真ん中。
心,かなめ。大切な部分。
心,二十八宿の一つ。なかごぼし。
慎,つつしむ。慎重に行う。あやまちがないように気を配る。
振,ふる。ふるう。ゆさぶる。揺り動かす。
振,ふるいたつ。
振,盛んになる。
振,すくう。
振,◦国 ふる。わりあてる。相手にしない。すてる。
振,◦国 ふり。ふるまい。様子。刀剣を数える助数詞。
新,あたらしい。あらた。
新,あたらしくする。
新,あらたに。
新,◦国 にい。あら。他の語の前に付きあたらしい意を表す語。
晋,すすむ。
晋,国の名。周の成王が弟の叔虞を封じた国。春秋時代に栄えた後、趙・韓・魏の三国に分かれる。
