漢字,意味
慰,なぐさめる。他人を安らかにさせる。
慰,なぐさむ。安らかになる。
慰,◦国 なぐさみ。楽しみ。趣味。
易,◦一 かえる。かわる。とりかえる。あらためる。あらたまる。
易,◦一 うらない。
易,◦一 うらないの書。
易,◦二 やすい。たやすい。やさしい。
易,◦二 たいら。やすらか。
易,◦二 あなどる。軽んじる。
易,◦二 おさめる。おさまる。
椅,◦一 いいぎり。イイギリ科の落葉高木。
椅,◦二 こしかけ。いす。
為,なす。する。
為,つくる。
為,おさめる。まとめる。
為,なる。変わる。～となる。
為,まねする。よそおう。
為,ため。～のため。
為,ためにする。
畏,おそれる。こわがる。かしこまる。
畏,◦国 かしこい。かしこし。恐れおおい。
畏,◦国 かしこまる。うやまいつつしむ。
異,ことなる。ちがう。同じでない。普通でない。
異,別の。他の。
異,正しくない。正統でない。
異,めずらしい。
異,ことにする。別々にする。
異,あやしい。不思議な。
移,うつる。うつす。動く。動かす。位置や場所をうつす。変わる。うつりかわる。
移,まわしぶみ。回覧文。
維,つな。おおづな。
維,つなぐ。むすぶ。
維,ささえる。
維,すじ。糸。
維,これ。
緯,よこいと。ぬき。ぬきいと。
緯,よこ。左右。東西の方向。
緯,予言書。未来記。
胃,いぶくろ。消化管の一つ。
胃,二十八宿の一つ。えきえぼし。
萎,なえる。しぼむ。しおれる。しなびる。
萎,つかれる。衰える。
衣,ころも。きぬ。上着。着物。
衣,おおい。つつみ。
衣,きる。おおう。身につける。
謂,いう。のべる。つげる。
謂,いう。名づける。
謂,おもう。かんがえる。
謂,いい。呼び名。趣旨。いわれ。理由。
違,ちがう。たがう。異なる。
違,さからう。そむく。
違,さる。遠ざかる。
違,よこしま。道理にはずれていること。
遺,◦一 のこす。のこる。
遺,◦一 おとす。なくす。
遺,◦一 わすれる。
遺,◦一 すてる。
遺,◦二 おくる。やる。物をおくる。
医,くすし。医者。
医,いやす。病気を治す。
井,い。井戸。
井,いげた。
井,まち。人の集まる所。
井,周代の区画で、一里四方の耕地。
井,二十八宿の一つ。ちちりぼし。
井,易の六十四卦の一つ。
亥,い。十二支の第十二番目。北北西の方角。亥の刻は午後十時、および午後十時を中心とした約二時間。月は陰暦十月。動物は猪。
域,さかい。くぎり。土地のさかい。ある一定の範囲。
域,かぎる。くぎる。
域,くに。国土。
育,そだてる。はぐくむ。やしなう。
育,そだつ。成長する。
育,うむ。うまれる。
郁,さかん。文化が盛んなさま。
郁,かぐわしい。
磯,石や岩に波が激しくあたる。
磯,いそ。石の多い波打ち際。
一,ひと。ひとつ。
一,ひとたび。一度。
一,はじめ。最初。
一,ひとつにする。
一,すべて。全部。
一,同じ。等しい。
一,ひとつの。あるひとつの。
一,わずか。少し。
一,もっぱら。ひたすら。ただただ。
壱,もっぱら。ひたすら。
壱,ひとつ。一の大字。
壱,ひとたび。
壱,すべて。みな。
溢,みちる。いっぱいになる。
溢,あふれる。こぼれる。水がいっぱいになってこぼれる。
溢,すぎる。度が過ぎる。
溢,おごる。
逸,はしる。にげる。
逸,うしなう。なくす。うせる。
逸,それる。そらす。はずれる。
逸,すぐれる。抜きんでる。
逸,気楽。きまま。
逸,みだら。
逸,◦国 はやる。勇み立つ。
逸,◦国 はぐれる。
稲,いね。イネ科の植物。五穀の一つ。
茨,いばら。とげがある低木の総称。
茨,くさぶき。かやなどで屋根をふくこと。
茨,はまびし。ハマビシ科の一年草。
芋,いも。さといも。いも類の総称。
鰯,いわし。小型の海水魚。
允,まこと。まことに。
允,ゆるす。みとめる。
允,◦国 じょう。律令制の四等官、寮の第三等官。
印,しるし。
印,しるす。しるしをつける。
印,はん。はんこ。はんを押す。
印,版を押しつけて刷る。
印,国名。インド。印度の略。
咽,◦一 のど。
咽,◦二 のむ。飲み下す。飲み込む。
咽,◦三 むせぶ。息がつまる。声がつまる。
員,かず。物や人のかず。
員,人。かかり。
員,まるい。
員,はば。周囲。
因,よる。したがう。もとづく。頼りとする。
因,ちなむ。ちなみ。由来する。
因,物事の起こり。物事を起こすもと。理由。
因,よって。～によって。
姻,とつぐ。嫁に行く。縁組。
姻,みうち。親類。
引,ひく。弓をひく。
引,ひっぱる。ひきよせる。
引,ひきうける。
引,みちびく。
引,ひきのばす。
引,しりぞく。さがる。
引,文体の一つ。はしがき。
引,長さの単位。十丈。
引,紙幣。また、手形の類。
飲,◦一 のむ。水や酒などをのむ。
飲,◦一 酒盛り。酒宴。
飲,◦一 のみもの。
飲,◦一 こらえる。受け入れる。
飲,◦二 のませる。
淫,ひたす。あふれる。
淫,みだら。男女の関係が乱れていること。
淫,ながあめ。
淫,ふける。おぼれる。
淫,ほしいまま。わがまま。気ままにする。
淫,みだす。みだれる。
淫,おおきい。はなはだしい。
胤,たね。血筋。子孫。
胤,つぐ。子孫が後を受け継ぐ。
蔭,◦一 かげ。木かげ。日かげ。
蔭,◦二 しげる。草木が盛んに生える。
蔭,◦二 おおう。かばう。
蔭,◦二 おかげ。たすけ。
院,かき。かこい。土べい。
院,役所・寺・学校など公共性の高い建物。
院,◦国 上皇や法皇などの御所。また、上皇や法皇などの敬称。
陰,かげ。日のあたらないところ。物におおわれたところ。
陰,山の北側。また、川の南側。
陰,かげる。くもる。
陰,かくす。おおう。
陰,くらい。
陰,ひそかに。こっそりと。
陰,時間。
陰,人の生殖器。
陰,易に関する語で陽に対して、消極的なもの・受動的なもの。
隠,◦一 かくれる。ひそむ。
隠,◦一 かくす。見えなくする。秘密にする。
隠,◦一 いたむ。かなしむ。うれえる。
隠,◦一 おもおもしい。
隠,◦二 よる。よりかかる。
韻,ひびき。しらべ。音色。
韻,おもむき。風情。
韻,字音のあたまの子音を除いた部分。
韻,詩。詩歌。
吋,◦一 しかる。
吋,◦二 インチ。長さの単位。約二・四五センチメートル。
右,みぎ。みぎて。みぎがわ。
右,そば。わき。
右,上位。
右,みぎする。みぎへ行く。
右,とうとぶ。たっとぶ。
右,たすける。補佐する。
右,保守的な。
宇,のき。ひさし。屋根。
宇,いえ。住居。家屋。
宇,天。そら。
宇,空間。すべての空間。
宇,天下。世界。
宇,こころ。器量。度量。
烏,からす。カラス科の鳥。
烏,くろい。黒色。
烏,太陽。
烏,いずくんぞ。なんぞ。反語の意を表す語。
烏,ああ。感嘆・嘆息を表す語。
羽,はね。つばさ。
羽,とり。鳥類。
羽,雅楽に用いるきじの羽で作ったかざり。
羽,五音の一つ。
羽,◦国 鳥やうさぎを数える助数詞。
迂,遠回りする。
迂,とおい。
迂,うとい。にぶい。
迂,まがる。
雨,◦一 あめ。あま。空から水滴が降る現象。
雨,◦二 あめふる。あめがふる。
雨,◦二 雪や霰（あられ）がふる。
雨,◦二 あめのようにふる。
卯,う。十二支の第四番目。東の方角。卯の刻は午前六時、および午前六時を中心とした約二時間。月は陰暦二月。動物は兎。
鵜,ペリカン。ペリカン科の水鳥。がらんちょう。くちばしから喉の部分にに大きな袋をもつ。
鵜,◦国 う。ウ科の鳥の総称。潜水して魚を捕らえる。
窺,◦一 うかがう。のぞく。ねらう。
窺,◦二 足を踏み出す。
丑,うし。十二支の第二番目。北北東の方角。丑の刻は午前二時、および午前二時を中心とした約二時間。月は陰暦十二月。動物は牛。
碓,うす。からうす。踏む力や水力を利用して穀物をつく道具。
臼,うす。穀物をつく道具。
臼,うすのような形のもの。
臼,うすでつく。
渦,◦一 うず。うずまき。
渦,◦一 水がうずをまく。
渦,◦二 川の名。渦水。
嘘,ふく。はく。息をふく。ゆっくり息をはく。
嘘,◦国 うそ。いつわり。
唄,仏の教えや功徳をたたえる歌。
唄,◦国 うた。民謡。俗謡。
欝,しげる。木が群がってしげる。
欝,ふさぐ。ふさがる。気持ちがふさがる。
欝,さかん。盛んなさま。
欝,香草の名。
蔚,おとこよもぎ。キク科の多年草。
蔚,草木が盛んにしげる。
蔚,あや。いろどり。
鰻,うなぎ。ウナギ科の魚。体は細長く体表は粘膜でおおわれる。
姥,うば。めのと。子の世話をする女性。
姥,ばば。年老いた女性。
厩,うまや。馬小屋。
浦,水辺。水のほとり。
浦,支流が本流に合流するところ。
浦,◦国 うら。入り江。
瓜,うり。ウリ科の植物の総称。
閏,うるう。平年より日数や月数が多いこと。
閏,正統でない。
噂,人が集まって話す。
噂,◦国 うわさ。うわさをする。
云,いう。いわく。自らのべる。引用してのべる。
云,ここに。語調を整える助字。
運,はこぶ。
運,めぐる。めぐらす。まわる。
運,うごく。うごかす。
運,さだめ。めぐり合わせ。
雲,くも。空気中の水滴が集まって空中にただよったもの。
雲,くものようなもの。
雲,高いもの。遠いもの。
荏,え。えごま。シソ科の一年草。
荏,荏菽。そらまめ。
荏,やわらか。よわよわしい。
餌,もち。ねりもち。
餌,え。えさ。動物に与えるえさ。人や動物を誘うために与えるもの。
餌,くう。たべる。
叡,さとい。かしこい。あきらか。
叡,天子に関わることを敬っていう語。
営,いとなむ。いとなみ。仕事をする。計画する。つくる。
営,とりで。陣屋。軍隊がとどまるところ。
営,めぐらす。とりまく。
嬰,みどりご。あかご。ちのみご。
嬰,首飾り。
嬰,めぐる。めぐらす。
嬰,かける。身に付ける。
嬰,ふれる。さわる。
嬰,◦国 半音高くする。
影,かげ。光が遮られてできる黒いところ。
影,ひかり。
影,すがた。かたち。
影,鏡などに映ったすがた。
映,うつる。うつす。うつしだす。
映,はえる。照らされて輝く。あざやかにうつる。
曳,ひく。ひっぱる。ひきずる。
栄,さかえる。草木が盛んに生える。盛んになる。
栄,あらわれる。目立つ。
栄,はえ。名誉。ほまれ。
永,ながい。距離がながい。時間がながい。
永,とこしえ。いつまでも続く。
泳,およぐ。およぎ。
洩,もれる。もらす。もれ出る。
洩,のびる。のびのびする。
瑛,玉の光。
瑛,水晶などの美しく透明な玉。
盈,みちる。みたす。いっぱいになる。
盈,あまる。あまり。
穎,ほさき。稲などの植物の穂の先。
穎,穂先のように先のとがったもの。
穎,すぐれる。抜きんでる。
頴,ほさき。稲などの植物の穂の先。
頴,穂先のように先のとがったもの。
頴,すぐれる。抜きんでる。
英,はな。はなぶさ。
英,ひいでる。すぐれる。
英,国名。イギリス。英吉利の略。
衛,まもる。まもり。
衛,まもる人。
衛,中国、周代の国の名。
詠,うたう。詩歌をうたう。
詠,よむ。詩歌をつくる。
詠,うた。詩歌。
詠,◦国 よむ。和歌をつくること。
詠,◦国 ながめる。
鋭,するどい。とがっている。刃物などがよく切れる。
鋭,強い。勢いがよい。
鋭,さとい。かしこい。
鋭,はやい。すばやい。
液,しる。つゆ。液体。
液,わき。
疫,えやみ。流行病。
益,みちあふれる。
益,ます。増える。
益,役に立つ。ためになる。
益,もうけ。利益。
益,ますます。いよいよ。
益,易の六十四卦の一つ。
駅,うまや。宿場。馬継ぎ場。
駅,つぎうま。はやうま。宿場ごとに乗り継いでいく馬。
駅,◦国 電車などの停車場。
悦,よろこぶ。よろこび。たのしむ。
謁,まみえる。貴人に会う。
謁,もうす。申し上げる。
謁,つげる。
謁,名札。名刺。
越,こえる。こす。
越,すぐれる。
越,度をこす。
越,春秋時代の国の名。
越,南方の民族の名。
越,◦国 こし。こしの国。
越,◦国 国名。ベトナム。越南の略。
閲,けみする。しらべる。よく見る。
閲,へる。経過する。
閲,門の右側の柱。家がら。
榎,ヒサギ。キササゲ。ノウゼンカズラ科の落葉高木。
榎,◦国 えのき。ニレ科の落葉高木。
厭,あきる。満足する。多すぎたり、長く続いたりして嫌になる。
厭,いとう。いや。いやがる。つかれる。
厭,悪夢にうなされる。
厭,おさえる。おす。
円,まる。えん。
円,まるい。まどか。
円,欠けたところのない。
円,つぶら。つぶらか。
円,◦国 一帯。あたり全体。
円,◦国 えん。貨幣の単位。
園,その。にわ。果樹などを植えた畑。
園,みささぎ。
堰,せき。いせき。水流をせきとめるための土手。
堰,せく。せきとめる。水流をさえぎる。
奄,おおう。つつむ。おおいかくす。
奄,ふさがる。ふさぐ。
奄,たちまち。にわかに。
宴,やすらか。くつろぐ。
宴,たのしむ。
宴,うたげ。さかもり。
宴,さかもりをする。
延,のびる。のばす。引きのばす。ながくなる。おくれる。
延,ひろがる。
延,ひく。ひき入れる。まねく。
延,のべ。重複している場合もそれぞれを一つとした数え方。
怨,◦一 うらむ。うらみ。にくむ。うらめしく思う。残念に思う。
怨,◦二 かたき。あだ。
掩,おおう。かくす。おおい隠す。
掩,かばう。
掩,たちまち。不意に。不意をうつ。
援,ひく。ひっぱる。ひきよせる。ひきあげる。
援,たすける。すくう。
援,たすけ。
沿,そう。水の流れや道路にそって進む。習慣やある基準などにしたがう。
沿,ふち。へり。
演,水が長く流れる。
演,のべる。ひきのばす。ひろめる。
演,おこなう。実習する。
炎,ほのお。
炎,もえる。燃え上がる。
炎,あつい。もえるようなあつさ。
炎,さかん。はげしい。
炎,熱や痛みなどを起こす症状。
焔,ほのお。ほむら。
焔,もえる。
煙,けむり。けむる。けぶる。
煙,かすみ。もや。
煙,すす。
煙,たばこ。
煙,◦国 けむい。けむたい。
燕,◦一 つばめ。ツバメ科の鳥。
燕,◦一 さかもり。
